School,GSR,GSR Percentage ,School_2,Overall G,Overall W,Overall L,Overall W-L%
Nicholls State University,75-c,0.75,Nicholls State,32,14,18,0.438
Norfolk State University,79-d,0.79,Norfolk State,33,27,6,0.818
North Carolina A&T State University,87-c,0.87,North Carolina A&T,34,22,12,0.647
North Carolina Central University,94-d,0.94,North Carolina Central,31,16,15,0.516
North Dakota State University,100-b,1,North Dakota State,34,22,12,0.647
Northeastern University,100-c,1,Northeastern,27,10,17,0.37
Northern Arizona University,79-c,0.79,Northern Arizona,35,25,10,0.714
Northern Illinois University,93-c,0.93,Northern Illinois,31,15,16,0.484
Northern Kentucky University,100-b,1,Northern Kentucky,31,11,20,0.355
Northwestern State University,94-d,0.94,Northwestern State,30,11,19,0.367
Northwestern University,100-c,1,Northwestern NCAA,30,9,21,0.3
Oakland University,88-d,0.88,Oakland NCAA,29,12,17,0.414
Ohio University,100-b,1,Ohio,30,11,19,0.367
Oklahoma State University,88-d,0.88,Oklahoma State,30,14,16,0.467
Old Dominion University,100-b,1,Old Dominion,32,22,10,0.688
Oral Roberts University,90-b,0.9,Oral Roberts,32,21,11,0.656
Oregon State University,90-b,0.9,Oregon State,35,27,8,0.771
Pennsylvania State University,100-b,1,Penn State,35,22,13,0.629
Pepperdine University,88-d,0.88,Pepperdine,30,5,25,0.167
Portland State University,92-c,0.92,Portland State,31,8,23,0.258
Prairie View A&M University,67-d,0.67,Prairie View,29,11,18,0.379
Presbyterian College,100-c,1,Presbyterian,36,21,15,0.583
Princeton University,100-d,1,Princeton,30,25,5,0.833
Providence College,100-c,1,Providence,34,13,21,0.382
Purdue University,86-c,0.86,Purdue NCAA,34,15,19,0.441
Purdue University Fort Wayne,80-c,0.8,Purdue Fort Wayne,36,23,13,0.639
Quinnipiac University,100-c,1,Quinnipiac,31,13,18,0.419
Radford University,100-c,1,Radford,33,15,18,0.455
Rice University,100-c,1,Rice,34,19,15,0.559
Rider University,100-c,1,Rider,31,10,21,0.323
Robert Morris University,100-c,1,Robert Morris,30,6,24,0.2
Rutgers The State University of New Jersey New Brunswick,100-c,1,Rutgers,32,8,24,0.25
Sacred Heart University,100-c,1,Sacred Heart,34,24,10,0.706
Saint Francis University,100-b,1,Saint Francis (PA),30,5,25,0.167
Saint Joseph's University,100-c,1,Saint Joseph's,34,28,6,0.824
Saint Louis University,100-c,1,Saint Louis,40,22,18,0.55
Saint Mary's College of California,90-b,0.9,Saint Mary's (CA) NCAA,31,13,18,0.419
Saint Peter's University,100-b,1,Saint Peter's NCAA,30,7,23,0.233
Sam Houston State University,89-d,0.89,Sam Houston,29,7,22,0.241
Samford University,100-c,1,Samford NCAA,30,14,16,0.467
San Diego State University,100-c,1,San Diego,31,9,22,0.29
San Jose State University,100-c,1,San Jose State,31,7,24,0.226
Santa Clara University,93-c,0.93,Santa Clara,34,25,9,0.735
Seattle University,100-c,1,Seattle,29,6,23,0.207
Seton Hall University,100-b,1,Seton Hall,32,17,15,0.531
Siena College,100-c,1,Siena,30,18,12,0.6
South Carolina State University,100-c,1,South Carolina State,30,2,28,0.067
South Dakota State University,100-c,1,South Dakota State NCAA,33,27,6,0.818
Southeast Missouri State University,100-d,1,Southeast Missouri State,29,9,20,0.31
Southeastern Louisiana University,100-c,1,Southeastern Louisiana,31,19,12,0.613
Southern Illinois University at Carbondale,93-c,0.93,Southern Illinois,31,11,20,0.355
Southern Illinois University Edwardsville,93-c,0.93,SIU Edwardsville,31,5,26,0.161
Southern Methodist University,83-c,0.83,Southern Methodist,30,14,16,0.467
Southern University Baton Rouge,80-c,0.8,Southern,30,15,15,0.5
Southern Utah University,75-b,0.75,Southern Utah,30,8,22,0.267
St. Bonaventure University,100-c,1,St. Bonaventure,30,4,26,0.133
St. John's University (New York),91-c,0.91,St. John's (NY),33,18,15,0.545
Stanford University,100-c,1,Stanford,36,30,6,0.833
Stephen F. Austin State University,86-c,0.86,Stephen F. Austin,34,22,12,0.647
Stetson University,93-c,0.93,Stetson NCAA,32,17,15,0.531
Stony Brook University,100-d,1,Stony Brook,33,28,5,0.848
Syracuse University,100-c,1,Syracuse,32,24,8,0.75
Temple University,89-b,0.89,Temple,32,20,12,0.625
Tennessee State University,85-c,0.85,Tennessee State,30,11,19,0.367
Tennessee Technological University,100-c,1,Tennessee Tech,31,16,15,0.516
Texas A&M University College Station,88-d,0.88,Texas A&M NCAA,32,19,13,0.594
Texas A&M University-Corpus Christi,75-c,0.75,Texas A&M-Corpus Christi,32,23,9,0.719
