Cohort Year,School,Conference,Sport,State,GSR,FGR,GSR Report,FGR Report,PDF_URL
2017,Chicago State University,Independent,Overall,IL,71,31,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/136.pdf?v=1748710721067
2017,University of Cincinnati,Big 12 Conference,Overall,OH,96,75,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/140.pdf?v=1748710721067
2017,The Citadel,Southern Conference,Overall,SC,86,68,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/141.pdf?v=1748710721067
2017,Clemson University,Atlantic Coast Conference,Overall,SC,96,74,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/147.pdf?v=1748710721067
2017,Cleveland State University,Horizon League,Overall,OH,91,67,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/148.pdf?v=1748710721067
2017,Coastal Carolina University,Sun Belt Conference,Overall,SC,89,58,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/149.pdf?v=1748710721067
2017,Colgate University,Patriot League,Overall,NY,97,91,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/153.pdf?v=1748710721067
2017,Colorado State University,Mountain West Conference,Overall,CO,87,70,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/156.pdf?v=1748710721067
2017,"University of Colorado, Boulder",Pac-12 Conference,Overall,CO,88,69,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/157.pdf?v=1748710721067
2017,Columbia University-Barnard College,The Ivy League,Overall,NY,99,,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/158.pdf?v=1748710721067
2017,University of Connecticut,Big East Conference,Overall,CT,92,71,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/164.pdf?v=1748710721067
2017,Coppin State University,Mid-Eastern Athletic Conf.,Overall,MD,79,40,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/165.pdf?v=1748710721067
2017,Cornell University,The Ivy League,Overall,NY,98,,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/167.pdf?v=1748710721067
2017,Creighton University,Big East Conference,Overall,NE,97,65,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/169.pdf?v=1748710721067
2017,Dartmouth College,The Ivy League,Overall,NH,97,,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/172.pdf?v=1748710721067
2017,Davidson College,Atlantic 10 Conference,Overall,NC,98,93,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/173.pdf?v=1748710721067
2017,University of Dayton,Atlantic 10 Conference,Overall,OH,95,74,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/175.pdf?v=1748710721067
2017,DePaul University,Big East Conference,Overall,IL,95,73,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/176.pdf?v=1748710721067
2017,Delaware State University,Mid-Eastern Athletic Conf.,Overall,DE,81,51,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/178.pdf?v=1748710721067
2017,University of Delaware,Coastal Athletic Association,Overall,DE,92,78,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/180.pdf?v=1748710721067
2017,University of Denver,The Summit League,Overall,CO,96,76,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/183.pdf?v=1748710721067
2017,University of Detroit Mercy,Horizon League,Overall,MI,91,69,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/184.pdf?v=1748710721067
2017,Drake University,Missouri Valley Conference,Overall,IA,93,77,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/189.pdf?v=1748710721067
2017,Drexel University,Coastal Athletic Association,Overall,PA,93,78,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/191.pdf?v=1748710721067
2017,Duke University,Atlantic Coast Conference,Overall,NC,97,86,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/193.pdf?v=1748710721067
2017,Duquesne University,Atlantic 10 Conference,Overall,PA,92,75,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/194.pdf?v=1748710721067
2017,East Carolina University,American Athletic Conference,Overall,NC,87,63,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/196.pdf?v=1748710721067
2017,East Tennessee State University,Southern Conference,Overall,TN,84,65,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/198.pdf?v=1748710721067
2017,Eastern Illinois University,Ohio Valley Conference,Overall,IL,87,61,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/201.pdf?v=1748710721067
2017,Eastern Kentucky University,Atlantic Sun Conference,Overall,KY,90,61,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/202.pdf?v=1748710721067
2017,Eastern Michigan University,Mid-American Conference,Overall,MI,89,65,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/204.pdf?v=1748710721067
2017,Eastern Washington University,Big Sky Conference,Overall,WA,86,62,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/207.pdf?v=1748710721067
2017,University of Evansville,Missouri Valley Conference,Overall,IN,97,74,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/219.pdf?v=1748710721067
2017,Fairfield University,Metro Atlantic Athletic Conference,Overall,CT,94,77,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/220.pdf?v=1748710721067
