School,GSR,GSR Percentage ,School_2,Overall G,Overall W,Overall L,Overall W-L%,Win Category
Houston Christian University,100-d,1.0,Houston Christian,29,6,23,0.207,4.0
Howard University,76-d,0.76,Howard NCAA,31,15,16,0.484,3.0
Idaho State University,100-c,1.0,Idaho State,30,11,19,0.367,4.0
Illinois State University,91-c,0.91,Illinois State,34,22,12,0.647,2.0
Indiana State University,69-d,0.69,Indiana State,32,11,21,0.344,4.0
Indiana University Bloomington,100-c,1.0,Indiana,32,26,6,0.813,1.0
Indiana University Indianapolis,100-c,1.0,IU Indy,30,7,23,0.233,4.0
Iona University,83-c,0.83,Iona,30,11,19,0.367,4.0
Iowa State University,100-c,1.0,Iowa State NCAA,33,21,12,0.636,2.0
Jackson State University,95-d,0.95,Jackson State,33,26,7,0.788,2.0
Jacksonville State University,94-d,0.94,Jacksonville State,29,12,17,0.414,3.0
Jacksonville University,89-d,0.89,Jacksonville,31,11,20,0.355,4.0
James Madison University,92-c,0.92,James Madison NCAA,35,23,12,0.657,2.0
Kansas State University,82-c,0.82,Kansas State,34,26,8,0.765,2.0
Kennesaw State University,83-c,0.83,Kennesaw State,30,11,19,0.367,4.0
Kent State University,92-c,0.92,Kent State,32,21,11,0.656,2.0
La Salle University,100-c,1.0,La Salle,30,8,22,0.267,4.0
Lafayette College,100-c,1.0,Lafayette,30,10,20,0.333,4.0
Lamar University,93-c,0.93,Lamar,31,24,7,0.774,2.0
Lehigh University,100-c,1.0,Lehigh,30,17,13,0.567,3.0
Liberty University,100-c,1.0,Liberty,34,18,16,0.529,3.0
Lipscomb University,100-d,1.0,Lipscomb,30,17,13,0.567,3.0
Long Beach State University,91-c,0.91,Long Beach State NCAA,33,15,18,0.455,3.0
Long Island University,91-c,0.91,Long Island University,30,8,22,0.267,4.0
Longwood University,100-c,1.0,Longwood NCAA,30,9,21,0.3,4.0
Louisiana State University,100-d,1.0,Louisiana State,37,31,6,0.838,1.0
Louisiana Tech University,85-c,0.85,Louisiana Tech,33,14,19,0.424,3.0
Loyola Marymount University,100-c,1.0,Loyola Marymount,30,11,19,0.367,4.0
Loyola University Chicago,100-c,1.0,Loyola (IL),31,15,16,0.484,3.0
Loyola University Maryland,100-c,1.0,Loyola (MD),31,16,15,0.516,3.0
Manhattan University,100-c,1.0,Manhattan,30,18,12,0.6,2.0
Marist University,100-c,1.0,Marist,31,6,25,0.194,5.0
Marquette University,100-c,1.0,Marquette NCAA,32,23,9,0.719,2.0
Marshall University,92-c,0.92,Marshall,33,26,7,0.788,2.0
McNeese State University,81-d,0.81,McNeese State NCAA,31,6,25,0.194,5.0
Mercer University,100-c,1.0,Mercer,32,15,17,0.469,3.0
Merrimack College,90-b,0.9,Merrimack,31,12,19,0.387,4.0
Miami University (Ohio),100-c,1.0,Miami (OH),29,9,20,0.31,4.0
Michigan State University,93-c,0.93,Michigan State NCAA,31,22,9,0.71,2.0
Middle Tennessee State University,83-c,0.83,Middle Tennessee,35,30,5,0.857,1.0
Mississippi State University,93-c,0.93,Mississippi State NCAA,35,23,12,0.657,2.0
Mississippi Valley State University,76-d,0.76,Mississippi Valley State,31,4,27,0.129,5.0
Missouri State University,92-c,0.92,Missouri State,33,23,10,0.697,2.0
Monmouth University,100-c,1.0,Monmouth,32,22,10,0.688,2.0
Montana State University-Bozeman,100-c,1.0,Montana State NCAA,33,17,16,0.515,3.0
Morehead State University,78-d,0.78,Morehead State NCAA,30,15,15,0.5,3.0
Morgan State University,87-e,0.87,Morgan State,30,8,22,0.267,4.0
Mount St. Mary's University,92-c,0.92,Mount St. Mary's,31,14,17,0.452,3.0
Murray State University,89-b,0.89,Murray State,32,20,12,0.625,2.0
New Jersey Institute of Technology,100-c,1.0,NJIT,30,12,18,0.4,3.0
New Mexico State University,88-d,0.88,New Mexico State,31,13,18,0.419,3.0
Niagara University,100-c,1.0,Niagara,35,21,14,0.6,2.0
Nicholls State University,75-c,0.75,Nicholls State,32,14,18,0.438,3.0
Norfolk State University,79-d,0.79,Norfolk State,33,27,6,0.818,1.0
North Carolina A&T State University,87-c,0.87,North Carolina A&T,34,22,12,0.647,2.0
North Carolina Central University,94-d,0.94,North Carolina Central,31,16,15,0.516,3.0
North Dakota State University,100-b,1.0,North Dakota State,34,22,12,0.647,2.0
Northeastern University,100-c,1.0,Northeastern,27,10,17,0.37,4.0
Northern Arizona University,79-c,0.79,Northern Arizona,35,25,10,0.714,2.0
Northern Illinois University,93-c,0.93,Northern Illinois,31,15,16,0.484,3.0
Northern Kentucky University,100-b,1.0,Northern Kentucky,31,11,20,0.355,4.0
Northwestern State University,94-d,0.94,Northwestern State,30,11,19,0.367,4.0
Northwestern University,100-c,1.0,Northwestern NCAA,30,9,21,0.3,4.0
Oakland University,88-d,0.88,Oakland NCAA,29,12,17,0.414,3.0
Ohio University,100-b,1.0,Ohio,30,11,19,0.367,4.0
Oklahoma State University,88-d,0.88,Oklahoma State,30,14,16,0.467,3.0
Old Dominion University,100-b,1.0,Old Dominion,32,22,10,0.688,2.0
Oral Roberts University,90-b,0.9,Oral Roberts,32,21,11,0.656,2.0
Oregon State University,90-b,0.9,Oregon State,35,27,8,0.771,2.0
Pennsylvania State University,100-b,1.0,Penn State,35,22,13,0.629,2.0
Pepperdine University,88-d,0.88,Pepperdine,30,5,25,0.167,5.0
Portland State University,92-c,0.92,Portland State,31,8,23,0.258,4.0
Prairie View A&M University,67-d,0.67,Prairie View,29,11,18,0.379,4.0
Presbyterian College,100-c,1.0,Presbyterian,36,21,15,0.583,3.0
Princeton University,100-d,1.0,Princeton,30,25,5,0.833,1.0
Providence College,100-c,1.0,Providence,34,13,21,0.382,4.0
Purdue University,86-c,0.86,Purdue NCAA,34,15,19,0.441,3.0
Purdue University Fort Wayne,80-c,0.8,Purdue Fort Wayne,36,23,13,0.639,2.0
Quinnipiac University,100-c,1.0,Quinnipiac,31,13,18,0.419,3.0
Radford University,100-c,1.0,Radford,33,15,18,0.455,3.0
Rice University,100-c,1.0,Rice,34,19,15,0.559,3.0
Rider University,100-c,1.0,Rider,31,10,21,0.323,4.0
Robert Morris University,100-c,1.0,Robert Morris,30,6,24,0.2,4.0
Rutgers The State University of New Jersey New Brunswick,100-c,1.0,Rutgers,32,8,24,0.25,4.0
Sacred Heart University,100-c,1.0,Sacred Heart,34,24,10,0.706,2.0
Saint Francis University,100-b,1.0,Saint Francis (PA),30,5,25,0.167,5.0
Saint Joseph's University,100-c,1.0,Saint Joseph's,34,28,6,0.824,1.0
Saint Louis University,100-c,1.0,Saint Louis,40,22,18,0.55,3.0
Saint Mary's College of California,90-b,0.9,Saint Mary's (CA) NCAA,31,13,18,0.419,3.0
Saint Peter's University,100-b,1.0,Saint Peter's NCAA,30,7,23,0.233,4.0
Sam Houston State University,89-d,0.89,Sam Houston,29,7,22,0.241,4.0
Samford University,100-c,1.0,Samford NCAA,30,14,16,0.467,3.0
San Diego State University,100-c,1.0,San Diego,31,9,22,0.29,4.0
San Jose State University,100-c,1.0,San Jose State,31,7,24,0.226,4.0
Santa Clara University,93-c,0.93,Santa Clara,34,25,9,0.735,2.0
Seattle University,100-c,1.0,Seattle,29,6,23,0.207,4.0
Seton Hall University,100-b,1.0,Seton Hall,32,17,15,0.531,3.0
Siena College,100-c,1.0,Siena,30,18,12,0.6,2.0
South Carolina State University,100-c,1.0,South Carolina State,30,2,28,0.067,5.0
South Dakota State University,100-c,1.0,South Dakota State NCAA,33,27,6,0.818,1.0
Southeast Missouri State University,100-d,1.0,Southeast Missouri State,29,9,20,0.31,4.0
Southeastern Louisiana University,100-c,1.0,Southeastern Louisiana,31,19,12,0.613,2.0
Southern Illinois University at Carbondale,93-c,0.93,Southern Illinois,31,11,20,0.355,4.0
Southern Illinois University Edwardsville,93-c,0.93,SIU Edwardsville,31,5,26,0.161,5.0
Southern Methodist University,83-c,0.83,Southern Methodist,30,14,16,0.467,3.0
Southern University Baton Rouge,80-c,0.8,Southern,30,15,15,0.5,3.0
Southern Utah University,75-b,0.75,Southern Utah,30,8,22,0.267,4.0
St. Bonaventure University,100-c,1.0,St. Bonaventure,30,4,26,0.133,5.0
St. John's University (New York),91-c,0.91,St. John's (NY),33,18,15,0.545,3.0
Stanford University,100-c,1.0,Stanford,36,30,6,0.833,1.0
Stephen F. Austin State University,86-c,0.86,Stephen F. Austin,34,22,12,0.647,2.0
Stetson University,93-c,0.93,Stetson NCAA,32,17,15,0.531,3.0
Stony Brook University,100-d,1.0,Stony Brook,33,28,5,0.848,1.0
Syracuse University,100-c,1.0,Syracuse,32,24,8,0.75,2.0
Temple University,89-b,0.89,Temple,32,20,12,0.625,2.0
Tennessee State University,85-c,0.85,Tennessee State,30,11,19,0.367,4.0
Tennessee Technological University,100-c,1.0,Tennessee Tech,31,16,15,0.516,3.0
Texas A&M University College Station,88-d,0.88,Texas A&M NCAA,32,19,13,0.594,3.0
Texas A&M University-Corpus Christi,75-c,0.75,Texas A&M-Corpus Christi,32,23,9,0.719,2.0
Texas Christian University,100-c,1.0,TCU NCAA,33,21,12,0.636,2.0
Texas Southern University,82-d,0.82,Texas Southern,29,7,22,0.241,4.0
Texas State University,85-c,0.85,Texas State,32,14,18,0.438,3.0
Texas Tech University,94-d,0.94,Texas Tech NCAA,33,17,16,0.515,3.0
The Ohio State University,88-b,0.88,Ohio State,32,26,6,0.813,1.0
The University of North Carolina at Charlotte,79-c,0.79,Charlotte,31,16,15,0.516,3.0
