School,Metric,All Students 2013-14,All Students 2023-24,Student-Athletes 2013-14,Student-Athletes 2023-24
Binghamton University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Binghamton University,Four-Class Average,83%,79%,81%,70%
Boise State University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Boise State University,Student-Athlete Graduation Success Rate,,,96%,79%
Boise State University,2007-08 Graduation Rate,,41%,,66%
Boise State University,2017-18 Graduation Rate,62%,,62%,
Boise State University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Boise State University,Four-Class Average,58%,33%,65%,63%
Boston College,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Boston College,Student-Athlete Graduation Success Rate,,,98%,95%
Boston College,2007-08 Graduation Rate,,91%,,75%
Boston College,2017-18 Graduation Rate,91%,,78%,
Boston College,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Boston College,Four-Class Average,91%,91%,79%,76%
Boston University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Boston University,Student-Athlete Graduation Success Rate,,,96%,95%
Boston University,2007-08 Graduation Rate,,84%,,85%
Boston University,2017-18 Graduation Rate,90%,,85%,
Boston University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Boston University,Four-Class Average,89%,84%,87%,80%
Bowling Green State University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Bowling Green State University,Student-Athlete Graduation Success Rate,,,91%,86%
Bowling Green State University,2007-08 Graduation Rate,,54%,,63%
Bowling Green State University,2017-18 Graduation Rate,63%,,75%,
Bowling Green State University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Bowling Green State University,Four-Class Average,62%,58%,69%,69%
Bradley University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Bradley University,Student-Athlete Graduation Success Rate,,,97%,91%
Bradley University,2007-08 Graduation Rate,,76%,,69%
Bradley University,2017-18 Graduation Rate,72%,,74%,
Bradley University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Bradley University,Four-Class Average,74%,75%,70%,72%
Brigham Young University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Brigham Young University,Student-Athlete Graduation Success Rate,,,79%,73%
Brigham Young University,2007-08 Graduation Rate,,78%,,74%
Brigham Young University,2017-18 Graduation Rate,82%,,68%,
Brigham Young University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Brigham Young University,Four-Class Average,78%,78%,71%,66%
Brown University,Student-Athlete Graduation Success Rate,,,98%,98%
Brown University,2007-08 Graduation Rate,,94%,,-
Brown University,2017-18 Graduation Rate,96%,,-,
Brown University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Brown University,Four-Class Average,96%,95%,-,-
Brown University,FRESHMAN-COHORT GRADUATION RATES All Students Student-Ath,,,letes,
Bryant University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Bryant University,Student-Athlete Graduation Success Rate,,,96%,92%
Bryant University,2007-08 Graduation Rate,,82%,,81%
Bryant University,2017-18 Graduation Rate,81%,,78%,
Bryant University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Bryant University,Four-Class Average,82%,79%,80%,73%
