Cohort Year,School,Conference,Sport,State,GSR,FGR,GSR Report,FGR Report,PDF_URL
2007,Central Michigan University,Mid-American Conference,Overall,MI,75,59,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/129.pdf?v=1750871843630
2007,Chicago State University,Western Athletic Conference,Overall,IL,65,52,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/136.pdf?v=1750871843630
2007,University of Cincinnati,American Athletic Conference,Overall,OH,79,64,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/140.pdf?v=1750871843630
2007,The Citadel,Southern Conference,Overall,SC,86,66,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/141.pdf?v=1750871843630
2007,Clemson University,Atlantic Coast Conference,Overall,SC,91,71,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/147.pdf?v=1750871843630
2007,Cleveland State University,Horizon League,Overall,OH,82,57,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/148.pdf?v=1750871843630
2007,Coastal Carolina University,Big South Conference,Overall,SC,83,56,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/149.pdf?v=1750871843630
2007,Colgate University,Patriot League,Overall,NY,98,87,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/153.pdf?v=1750871843630
2007,Colorado State University,Mountain West Conference,Overall,CO,83,68,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/156.pdf?v=1750871843630
2007,"University of Colorado, Boulder",Pac-12 Conference,Overall,CO,83,65,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/157.pdf?v=1750871843630
2007,Columbia University-Barnard College,The Ivy League,Overall,NY,97,,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/158.pdf?v=1750871843630
2007,University of Connecticut,American Athletic Conference,Overall,CT,82,66,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/164.pdf?v=1750871843630
2007,Coppin State University,Mid-Eastern Athletic Conf.,Overall,MD,73,43,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/165.pdf?v=1750871843630
2007,Cornell University,The Ivy League,Overall,NY,95,,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/167.pdf?v=1750871843630
2007,Creighton University,Big East Conference,Overall,NE,96,74,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/169.pdf?v=1750871843630
2007,Dartmouth College,The Ivy League,Overall,NH,99,,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/172.pdf?v=1750871843630
2007,Davidson College,Southern Conference,Overall,NC,98,91,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/173.pdf?v=1750871843630
2007,University of Dayton,Atlantic 10 Conference,Overall,OH,95,75,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/175.pdf?v=1750871843630
2007,DePaul University,Big East Conference,Overall,IL,92,73,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/176.pdf?v=1750871843630
2007,Delaware State University,Mid-Eastern Athletic Conf.,Overall,DE,66,54,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/178.pdf?v=1750871843630
2007,University of Delaware,Coastal Athletic Association,Overall,DE,85,76,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/180.pdf?v=1750871843630
2007,University of Denver,The Summit League,Overall,CO,92,77,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/183.pdf?v=1750871843630
2007,University of Detroit Mercy,Horizon League,Overall,MI,81,66,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/184.pdf?v=1750871843630
2007,Drake University,Missouri Valley Conference,Overall,IA,88,79,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/189.pdf?v=1750871843630
2007,Drexel University,Coastal Athletic Association,Overall,PA,93,80,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/191.pdf?v=1750871843630
2007,Duke University,Atlantic Coast Conference,Overall,NC,97,84,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/193.pdf?v=1750871843630
2007,Duquesne University,Atlantic 10 Conference,Overall,PA,88,78,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/194.pdf?v=1750871843630
2007,East Carolina University,Conference USA,Overall,NC,79,63,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/196.pdf?v=1750871843630
2007,East Tennessee State University,Atlantic Sun Conference,Overall,TN,77,55,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/198.pdf?v=1750871843630
2007,Eastern Illinois University,Ohio Valley Conference,Overall,IL,86,65,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/201.pdf?v=1750871843630
2007,Eastern Kentucky University,Ohio Valley Conference,Overall,KY,79,56,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/202.pdf?v=1750871843630
2007,Eastern Michigan University,Mid-American Conference,Overall,MI,75,61,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/204.pdf?v=1750871843630
2007,Eastern Washington University,Big Sky Conference,Overall,WA,68,43,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/207.pdf?v=1750871843630
2007,University of Evansville,Missouri Valley Conference,Overall,IN,90,68,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/219.pdf?v=1750871843630
2007,Fairfield University,Metro Atlantic Athletic Conference,Overall,CT,96,78,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/220.pdf?v=1750871843630
2007,"Fairleigh Dickinson University, Metropolitan Campus",Northeast Conference,Overall,NJ,67,56,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/222.pdf?v=1750871843630
