School,Men Basketball,GSR,GSR Percentage,Player Number,School_2,Overall G,Overall W,Overall L,Overall W-L%
Purdue University Fort Wayne,13,69-c,0.69,9,purdue fort wayne,36,25,11,0.355
Quinnipiac University,13,73-c,0.73,9,quinnipiac,32,20,12,0.706
Radford University,12,86-c,0.86,10,radford,35,22,13,0.75
Rice University,13,83-c,0.83,11,rice,30,7,23,0.515
Rider University,13,100-c,1,13,rider,31,14,17,0.419
Robert Morris University,12,54-c,0.54,6,robert morris,36,22,14,0.757
Sacred Heart University,13,100-c,1,13,sacred heart,31,5,26,0.6
Saint Peter's University,13,67-c,0.67,9,saint peter's,31,14,17,0.657
Sam Houston State University,13,100-b,1,13,sam houston,35,24,11,0.606
Samford University,13,63-d,0.63,8,samford,33,13,20,0.344
San Diego State University,14,36-c,0.36,5,san diego,35,18,17,0.567
Santa Clara University,13,69-c,0.69,9,santa clara,33,14,19,0.588
Seattle University,14,78-b,0.78,11,seattle,30,13,17,0.485
Seton Hall University,13,82-c,0.82,11,seton hall,34,17,17,0.676
Siena College,12,92-c,0.92,11,siena,38,20,18,0.3
South Carolina State University,13,58-c,0.58,8,south carolina,34,14,20,0.611
South Dakota State University,13,63-d,0.63,8,south dakota,30,12,18,0.594
Southeastern Louisiana University,14,58-c,0.58,8,southeastern louisiana,30,12,18,0.606
Southern Methodist University,11,45-c,0.45,5,southern methodist,37,27,10,0.722
Southern Utah University,15,70-b,0.7,11,southern utah,29,2,27,0.212
St. Bonaventure University,13,83-c,0.83,11,st. bonaventure,33,18,15,0.483
Stetson University,16,63-b,0.63,10,stetson,31,7,24,0.824
Stony Brook University,14,45-c,0.45,6,stony brook,34,23,11,0.5
Temple University,12,50-c,0.5,6,temple,31,9,22,0.5
Texas A&M University-Corpus Christi,13,46-c,0.46,6,texas a&m-corpus christi,34,18,16,0.469
Texas Tech University,9,70-b,0.7,6,texas tech,32,14,18,0.424
The Citadel,12,53-c,0.53,6,the citadel,33,7,26,0.548
Towson University,13,87-c,0.87,11,towson,36,25,11,0.5
Troy University,13,100-c,1,13,troy,31,11,20,0.531
Tulane University,13,81-d,0.81,11,tulane,34,17,17,0.515
Utah State University,4,50-b,0.5,2,utah,33,21,12,0.743
Utah Valley University,12,90-b,0.9,11,utah valley,32,20,12,0.629
Valparaiso University,11,82-c,0.82,9,valparaiso,34,18,16,0.29
Vanderbilt University,9,100-b,1,9,vanderbilt,31,15,16,0.613
Wagner College,12,80-b,0.8,10,wagner,31,19,12,0.515
Wake Forest University,13,71-c,0.71,9,wake forest,33,17,16,0.559
Washington State University,14,85-c,0.85,12,washington,32,17,15,0.333
West Virginia University,11,80-c,0.8,9,west virginia,33,17,16,0.697
Western Carolina University,13,72-d,0.72,9,western carolina,34,19,15,0.972
Western Illinois University,12,87-c,0.87,10,western illinois,30,10,20,0.625
Western Kentucky University,13,100-b,1,13,western kentucky,32,20,12,0.606
William & Mary,14,100-c,1,14,william & mary,32,20,12,0.583
Winthrop University,17,91-c,0.91,15,winthrop,33,20,13,0.545
