Race,val1_All,val2_All,val3_All,val4_All,val5_All,val6_All,val7_All,val8_All,val9_All,val10_All,val11_All,val12_All,Source_All,School_All,val1_SA,val2_SA,val3_SA,val4_SA,val5_SA,val6_SA,val7_SA,val8_SA,val9_SA,val10_SA,val11_SA,val12_SA,val13,val14,val15,val16,val17,val18,Source_SA,School_SA,val19,val20,val21,val22,val23,val24,val25,val26,val27,val28,val29,val30,val31,val32,val33,val34,val35,val36,val37,val38,val39,val40,val41,val42,val43,val44,val45,val46,val47,val48,val49,val50
Black,33,94,128,89,52,87,194,90,85,89,322,89,All Students,Dartmouth College,0,-,0,-,30,97,0,-,0,-,12,100,0,-,0,-,42,98,Student-Athletes,Dartmouth College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,37,84,127,88,48,92,158,94,85,88,285,92,All Students,Dartmouth College,0,-,0,-,10,100,0,-,0,-,6,100,0,-,0,-,16,100,Student-Athletes,Dartmouth College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,***,***,5,100,***,***,4,75,***,***,9,89,All Students,Dartmouth College,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Dartmouth College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,57,98,149,94,35,100,116,97,92,99,265,95,All Students,Dartmouth College,0,-,0,-,14,93,0,-,0,-,11,100,0,-,0,-,25,96,Student-Athletes,Dartmouth College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,***,***,12,100,***,***,13,100,***,***,25,100,All Students,Dartmouth College,0,-,0,-,0,-,0,-,0,-,3,100,0,-,0,-,3,100,Student-Athletes,Dartmouth College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,12,100,74,95,22,91,107,93,34,94,181,94,All Students,Dartmouth College,0,-,0,-,25,96,0,-,0,-,18,100,0,-,0,-,43,98,Student-Athletes,Dartmouth College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,317,95,1312,95,292,96,1208,98,609,96,2520,97,All Students,Dartmouth College,0,-,0,-,290,99,0,-,0,-,250,100,0,-,0,-,540,99,Student-Athletes,Dartmouth College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,557,95,2150,94,557,94,2192,96,1114,95,4342,95,All Students,Dartmouth College,0,-,0,-,388,98,0,-,0,-,316,100,0,-,0,-,704,99,Student-Athletes,Dartmouth College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,***,***,7,86,***,***,3,100,***,***,10,90,All Students,Davidson College,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Davidson College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,12,83,31,84,10,100,29,93,22,91,60,88,All Students,Davidson College,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Davidson College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,10,90,56,82,13,92,63,90,23,91,119,87,All Students,Davidson College,***,***,5,60,21,95,***,***,3,100,3,100,***,***,8,75,24,96,Student-Athletes,Davidson College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,13,92,39,82,16,75,62,82,29,83,101,82,All Students,Davidson College,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Davidson College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Davidson College,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Davidson College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,10,100,40,95,7,86,20,85,17,94,60,92,All Students,Davidson College,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Davidson College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,***,***,5,40,***,***,5,100,***,***,10,70,All Students,Davidson College,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Davidson College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,8,88,42,81,15,100,57,100,23,96,99,92,All Students,Davidson College,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Davidson College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,173,92,688,92,172,95,700,95,345,94,1388,94,All Students,Davidson College,21,90,78,94,135,98,21,100,83,95,79,100,42,95,161,94,214,99,Student-Athletes,Davidson College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,230,91,908,90,234,94,939,94,464,93,1847,92,All Students,Davidson College,26,77,95,87,164,98,23,100,91,96,87,100,49,88,186,91,251,98,Student-Athletes,Davidson College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,6,17,10,30,8,100,22,68,14,64,32,56,All Students,DePaul University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,DePaul University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,113,74,396,71,104,70,413,72,217,72,809,72,All Students,DePaul University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,DePaul University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,52,54,217,55,99,70,434,62,151,64,651,59,All Students,DePaul University,***,***,14,43,12,58,***,***,18,83,17,94,***,***,32,66,29,79,Student-Athletes,DePaul University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,117,64,506,60,174,71,786,67,291,68,1292,65,All Students,DePaul University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,DePaul University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,DePaul University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,DePaul University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,18,56,57,70,8,88,38,66,26,65,95,68,All Students,DePaul University,5,60,16,63,16,88,3,100,7,100,9,100,8,75,23,74,25,92,Student-Athletes,DePaul University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,DePaul University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,DePaul University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,112,70,278,65,127,65,365,67,239,67,643,66,All Students,DePaul University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,DePaul University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,637,70,2612,68,938,73,3606,71,1575,72,6218,70,All Students,DePaul University,6,83,33,70,27,96,19,79,59,76,53,96,25,80,92,74,80,96,Student-Athletes,DePaul University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1055,69,4076,66,1458,72,5664,70,2513,70,9740,68,All Students,DePaul University,15,67,67,64,59,86,25,84,87,79,81,96,40,78,154,73,140,92,Student-Athletes,DePaul University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Delaware State University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Delaware State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,***,***,7,43,***,***,7,57,***,***,14,50,All Students,Delaware State University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Delaware State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,248,27,1086,30,392,41,1557,41,640,36,2643,36,All Students,Delaware State University,16,50,60,47,95,55,13,54,54,63,59,76,29,52,114,54,154,63,Student-Athletes,Delaware State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,9,33,35,37,13,31,36,25,22,32,71,31,All Students,Delaware State University,***,***,***,***,5,100,***,***,***,***,4,25,***,***,***,***,9,67,Student-Athletes,Delaware State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Delaware State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Delaware State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,***,***,6,33,***,***,11,55,***,***,17,47,All Students,Delaware State University,***,***,5,40,3,67,***,***,7,71,10,80,***,***,12,58,13,77,Student-Athletes,Delaware State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,8,75,9,78,13,77,22,64,21,76,31,68,All Students,Delaware State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Delaware State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,15,0,***,***,31,6,***,***,46,4,***,***,All Students,Delaware State University,***,***,5,0,9,44,***,***,3,100,3,100,***,***,8,38,12,58,Student-Athletes,Delaware State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,20,50,108,26,38,61,131,49,58,57,239,38,All Students,Delaware State University,3,0,22,36,27,67,12,92,37,62,40,75,15,73,59,53,67,72,Student-Athletes,Delaware State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,304,29,1317,29,495,42,1872,41,799,37,3189,36,All Students,Delaware State University,23,48,95,43,140,59,31,77,104,63,117,74,54,65,199,54,257,66,Student-Athletes,Delaware State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Drake University,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,0,-,Student-Athletes,Drake University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,16,50,59,58,17,53,84,62,33,52,143,60,All Students,Drake University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Drake University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,16,56,49,59,11,91,46,67,27,70,95,63,All Students,Drake University,***,***,7,86,20,80,***,***,7,100,7,100,***,***,14,93,27,85,Student-Athletes,Drake University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,10,60,23,57,15,60,43,70,25,60,66,65,All Students,Drake University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Drake University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Drake University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Drake University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,13,85,54,74,14,79,45,84,27,81,99,79,All Students,Drake University,***,***,8,100,11,91,***,***,5,60,7,100,***,***,13,85,18,94,Student-Athletes,Drake University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,4,75,8,75,9,89,20,90,13,85,28,86,All Students,Drake University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Drake University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Drake University,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,0,-,Student-Athletes,Drake University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,294,56,1075,70,484,60,1583,67,778,59,2658,68,All Students,Drake University,6,100,31,71,127,83,24,83,80,80,70,97,30,87,111,77,197,88,Student-Athletes,Drake University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,366,57,1308,68,557,62,1871,68,923,60,3179,68,All Students,Drake University,9,89,50,76,163,83,32,81,98,81,89,98,41,83,148,79,252,88,Student-Athletes,Drake University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,***,***,7,43,***,***,5,80,***,***,12,58,All Students,Drexel University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Drexel University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,186,75,697,71,167,84,546,79,353,79,1243,75,All Students,Drexel University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Drexel University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,69,41,234,41,62,55,239,52,131,47,473,47,All Students,Drexel University,***,***,9,44,7,86,***,***,4,75,3,100,***,***,13,54,10,90,Student-Athletes,Drexel University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,45,53,160,54,34,59,128,61,79,56,288,57,All Students,Drexel University,***,***,3,33,***,***,***,***,3,100,***,***,***,***,6,67,***,***,Student-Athletes,Drexel University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Drexel University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Drexel University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,88,56,345,63,38,74,171,75,126,61,516,67,All Students,Drexel University,***,***,8,88,16,94,***,***,6,83,9,89,***,***,14,86,25,92,Student-Athletes,Drexel University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,10,80,15,73,13,62,19,58,23,70,34,65,All Students,Drexel University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Drexel University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,***,***,195,60,***,***,126,72,***,***,321,65,All Students,Drexel University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Drexel University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,862,68,3744,66,598,76,2269,74,1460,72,6013,69,All Students,Drexel University,25,80,85,76,80,88,32,91,93,88,89,98,57,86,178,83,169,93,Student-Athletes,Drexel University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1314,66,5397,64,944,75,3503,73,2258,70,8900,68,All Students,Drexel University,30,73,108,74,108,88,35,89,116,85,111,97,65,82,224,80,219,93,Student-Athletes,Drexel University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,***,***,4,75,***,***,14,93,***,***,18,89,All Students,Duke University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Duke University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,200,96,636,97,195,97,624,96,395,97,1260,97,All Students,Duke University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Duke University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,55,85,246,89,98,95,407,94,153,92,653,92,All Students,Duke University,12,75,56,82,53,94,5,100,15,93,14,100,17,82,71,85,67,96,Student-Athletes,Duke University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,44,89,180,91,53,96,230,97,97,93,410,94,All Students,Duke University,0,-,3,67,10,100,0,-,0,-,3,100,0,-,3,67,13,100,Student-Athletes,Duke University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Duke University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Duke University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,73,84,242,84,46,91,172,92,119,87,414,87,All Students,Duke University,***,***,8,88,8,100,***,***,16,63,11,91,***,***,24,71,19,95,Student-Athletes,Duke University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Duke University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Duke University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,***,***,231,93,***,***,190,96,***,***,421,95,All Students,Duke University,***,***,***,***,8,100,***,***,***,***,7,100,***,***,***,***,15,100,Student-Athletes,Duke University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,453,93,1922,94,401,97,1646,96,854,95,3568,95,All Students,Duke University,31,74,112,81,165,95,27,89,105,91,129,100,58,81,217,86,294,97,Student-Athletes,Duke University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,854,92,3461,93,845,96,3283,95,1699,94,6744,94,All Students,Duke University,47,74,184,82,246,95,35,89,141,88,171,99,82,80,325,84,417,97,Student-Athletes,Duke University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Duquesne University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Duquesne University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,9,56,34,59,12,83,47,74,21,71,81,68,All Students,Duquesne University,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,0,-,Student-Athletes,Duquesne University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,26,58,77,55,16,63,63,57,42,60,140,56,All Students,Duquesne University,6,83,14,57,39,74,3,100,9,89,9,89,9,89,23,70,48,77,Student-Athletes,Duquesne University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,7,57,34,71,7,71,29,62,14,64,63,67,All Students,Duquesne University,0,-,***,***,3,100,0,-,***,***,0,-,0,-,***,***,3,100,Student-Athletes,Duquesne University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Duquesne University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Duquesne University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,6,50,28,61,5,60,25,72,11,55,53,66,All Students,Duquesne University,***,***,3,100,4,100,***,***,3,67,4,100,***,***,6,83,8,100,Student-Athletes,Duquesne University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Duquesne University,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,0,-,Student-Athletes,Duquesne University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Duquesne University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Duquesne University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,433,76,1577,74,627,79,2327,78,1060,78,3904,77,All Students,Duquesne University,35,71,106,75,95,87,36,83,127,83,117,94,71,77,233,79,212,91,Student-Athletes,Duquesne University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,508,74,1876,71,694,77,2628,77,1202,76,4504,74,All Students,Duquesne University,44,73,130,72,146,83,39,85,141,83,132,94,83,78,271,78,278,88,Student-Athletes,Duquesne University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,10,40,39,44,16,31,69,43,26,35,108,44,All Students,East Carolina University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,East Carolina University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,39,59,157,56,45,58,178,60,84,58,335,58,All Students,East Carolina University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,East Carolina University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,183,45,704,50,359,57,1370,58,542,53,2074,56,All Students,East Carolina University,24,58,82,52,80,65,11,64,33,52,27,74,35,60,115,52,107,67,Student-Athletes,East Carolina University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,33,45,111,47,52,62,169,57,85,55,280,53,All Students,East Carolina University,***,***,4,50,3,67,***,***,6,67,5,80,***,***,10,60,8,75,Student-Athletes,East Carolina University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,***,***,0,-,***,***,0,-,***,***,All Students,East Carolina University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,East Carolina University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,13,54,32,56,16,88,29,83,29,72,61,69,All Students,East Carolina University,3,100,11,73,11,82,0,-,6,83,9,100,3,100,17,76,20,90,Student-Athletes,East Carolina University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,11,64,0,-,16,81,0,-,27,74,All Students,East Carolina University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,East Carolina University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,122,49,***,***,185,63,***,***,307,57,***,***,All Students,East Carolina University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,East Carolina University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,1262,54,4377,56,1860,59,6802,61,3122,57,11179,59,All Students,East Carolina University,21,57,96,57,79,80,19,84,86,79,77,92,40,70,182,68,156,86,Student-Athletes,East Carolina University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1662,52,5674,55,2533,59,8977,60,4195,57,14651,58,All Students,East Carolina University,52,60,196,56,176,73,36,75,139,73,126,89,88,66,335,63,302,79,Student-Athletes,East Carolina University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,3,0,10,10,6,17,19,37,9,11,29,28,All Students,East Tennessee State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,East Tennessee State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,13,38,47,55,15,73,46,67,28,57,93,61,All Students,East Tennessee State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,East Tennessee State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,37,27,113,20,68,21,200,26,105,23,313,24,All Students,East Tennessee State University,3,100,11,55,17,71,5,40,29,45,24,63,8,63,40,48,41,66,Student-Athletes,East Tennessee State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,10,40,38,29,15,33,47,43,25,36,85,36,All Students,East Tennessee State University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,East Tennessee State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,***,***,***,***,***,***,***,***,***,***,***,***,All Students,East Tennessee State University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,East Tennessee State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,8,50,42,50,7,57,32,59,15,53,74,54,All Students,East Tennessee State University,***,***,18,61,18,89,***,***,9,89,12,100,***,***,27,70,30,93,Student-Athletes,East Tennessee State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,16,38,34,44,35,43,57,49,51,41,91,47,All Students,East Tennessee State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,East Tennessee State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,***,***,***,***,***,***,***,***,***,***,***,***,All Students,East Tennessee State University,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,0,-,Student-Athletes,East Tennessee State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,759,38,2561,38,910,47,3318,45,1669,43,5879,42,All Students,East Tennessee State University,7,29,49,49,50,68,18,78,80,59,66,82,25,64,129,55,116,76,Student-Athletes,East Tennessee State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,855,37,2902,37,1063,45,3772,44,1918,41,6674,41,All Students,East Tennessee State University,14,50,80,53,87,74,25,72,121,57,105,79,39,64,201,55,192,77,Student-Athletes,East Tennessee State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,***,***,4,50,***,***,16,56,***,***,20,55,All Students,Eastern Illinois University,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,0,-,Student-Athletes,Eastern Illinois University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,8,75,33,67,6,50,33,55,14,64,66,61,All Students,Eastern Illinois University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Eastern Illinois University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,73,40,278,41,142,48,426,47,215,45,704,44,All Students,Eastern Illinois University,7,57,43,53,40,80,5,40,13,46,11,73,12,50,56,52,51,78,Student-Athletes,Eastern Illinois University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,27,56,92,50,28,64,106,54,55,60,198,52,All Students,Eastern Illinois University,***,***,5,80,4,100,***,***,0,-,0,-,***,***,5,80,4,100,Student-Athletes,Eastern Illinois University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Eastern Illinois University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Eastern Illinois University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,***,***,22,27,***,***,6,33,***,***,28,29,All Students,Eastern Illinois University,***,***,7,86,8,100,***,***,4,50,4,75,***,***,11,73,12,92,Student-Athletes,Eastern Illinois University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Eastern Illinois University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Eastern Illinois University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,40,58,***,***,42,52,***,***,82,55,***,***,All Students,Eastern Illinois University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Eastern Illinois University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,493,57,2152,56,766,68,3316,67,1259,64,5468,63,All Students,Eastern Illinois University,35,54,125,62,116,86,21,86,107,74,97,90,56,66,232,67,213,88,Student-Athletes,Eastern Illinois University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,653,55,2722,55,988,64,4049,64,1641,60,6771,60,All Students,Eastern Illinois University,48,56,184,60,171,85,28,75,127,71,115,88,76,63,311,65,286,86,Student-Athletes,Eastern Illinois University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,***,***,12,33,***,***,17,24,***,***,29,28,All Students,Eastern Kentucky University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Eastern Kentucky University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,18,22,54,37,8,38,38,45,26,27,92,40,All Students,Eastern Kentucky University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Eastern Kentucky University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
