Race,val1_All,val2_All,val3_All,val4_All,val5_All,val6_All,val7_All,val8_All,val9_All,val10_All,val11_All,val12_All,Source_All,School_All,val1_SA,val2_SA,val3_SA,val4_SA,val5_SA,val6_SA,val7_SA,val8_SA,val9_SA,val10_SA,val11_SA,val12_SA,val13,val14,val15,val16,val17,val18,Source_SA,School_SA,val19,val20,val21,val22,val23,val24,val25,val26,val27,val28,val29,val30,val31,val32,val33,val34,val35,val36,val37,val38,val39,val40,val41,val42,val43,val44,val45,val46,val47,val48,val49,val50
Am. Ind./AN,16,50,57,60,16,75,52,65,32,63,109,62,All Students,Auburn University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Auburn University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,43,47,155,59,35,66,118,63,78,55,273,61,All Students,Auburn University,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,0,-,Student-Athletes,Auburn University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,203,40,777,37,272,59,907,52,475,51,1684,45,All Students,Auburn University,12,50,78,50,77,58,7,71,31,81,32,91,19,58,109,59,109,68,Student-Athletes,Auburn University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,54,56,176,51,66,58,200,59,120,57,376,55,All Students,Auburn University,***,***,***,***,0,-,***,***,***,***,4,75,***,***,***,***,4,75,Student-Athletes,Auburn University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Auburn University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Auburn University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,8,50,26,38,8,63,32,59,16,56,58,50,All Students,Auburn University,3,67,5,60,20,80,6,50,16,50,13,85,9,56,21,52,33,82,Student-Athletes,Auburn University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Auburn University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Auburn University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,14,64,96,61,16,69,82,73,30,67,178,67,All Students,Auburn University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Auburn University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,1620,67,6304,68,1794,75,7013,73,3414,71,13317,71,All Students,Auburn University,32,63,101,55,89,71,38,79,125,73,108,92,70,71,226,65,197,82,Student-Athletes,Auburn University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1958,63,7591,64,2207,72,8404,70,4165,68,15995,67,All Students,Auburn University,47,60,189,52,188,66,53,74,179,72,159,91,100,67,368,62,347,78,Student-Athletes,Auburn University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,***,***,8,63,***,***,19,32,***,***,27,41,All Students,Austin Peay State University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Austin Peay State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,12,25,54,39,23,30,57,28,35,29,111,33,All Students,Austin Peay State University,0,-,0,-,***,***,3,33,4,25,***,***,3,33,4,25,***,***,Student-Athletes,Austin Peay State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,69,29,262,27,89,36,402,31,158,33,664,29,All Students,Austin Peay State University,13,69,36,64,54,63,10,80,25,60,27,70,23,74,61,62,81,65,Student-Athletes,Austin Peay State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,10,50,46,26,22,41,85,27,32,44,131,27,All Students,Austin Peay State University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Austin Peay State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Austin Peay State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Austin Peay State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,***,***,7,43,***,***,11,36,***,***,18,39,All Students,Austin Peay State University,***,***,4,50,7,86,***,***,5,60,9,89,***,***,9,56,16,88,Student-Athletes,Austin Peay State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Austin Peay State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Austin Peay State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,83,22,224,25,124,38,364,36,207,31,588,32,All Students,Austin Peay State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Austin Peay State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,319,32,1346,33,409,43,1869,39,728,38,3215,37,All Students,Austin Peay State University,17,53,53,51,99,76,24,88,81,72,71,89,41,73,134,63,170,81,Student-Athletes,Austin Peay State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,495,30,1947,31,678,40,2807,37,1173,36,4754,35,All Students,Austin Peay State University,32,59,95,56,166,72,39,79,119,66,112,84,71,70,214,62,278,77,Student-Athletes,Austin Peay State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,***,***,17,35,***,***,16,63,***,***,33,48,All Students,Ball State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Ball State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,12,58,42,52,19,42,55,51,31,48,97,52,All Students,Ball State University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Ball State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,69,36,297,41,94,49,336,48,163,44,633,44,All Students,Ball State University,11,55,47,43,59,58,3,67,14,50,15,73,14,57,61,44,74,61,Student-Athletes,Ball State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,27,48,114,49,52,62,141,53,79,57,255,51,All Students,Ball State University,***,***,4,50,4,50,***,***,5,80,6,83,***,***,9,67,10,70,Student-Athletes,Ball State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,3,33,3,33,3,0,6,17,6,17,9,22,All Students,Ball State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Ball State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,7,86,7,86,5,60,9,67,12,75,16,75,All Students,Ball State University,0,-,0,-,***,***,0,-,4,50,***,***,0,-,4,50,***,***,Student-Athletes,Ball State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,***,***,27,67,***,***,15,53,***,***,42,62,All Students,Ball State University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Ball State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,51,31,142,46,76,53,215,53,127,44,357,50,All Students,Ball State University,***,***,***,***,3,33,***,***,***,***,9,67,***,***,***,***,12,58,Student-Athletes,Ball State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,1312,58,5276,55,1741,64,6919,62,3053,61,12195,59,All Students,Ball State University,23,74,88,61,116,71,36,81,121,69,126,80,59,78,209,66,242,76,Student-Athletes,Ball State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1489,56,5925,54,1993,63,7712,60,3482,60,13637,58,All Students,Ball State University,36,67,144,55,187,66,41,78,153,67,161,78,77,73,297,61,348,72,Student-Athletes,Ball State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,3,67,32,66,5,80,31,61,8,75,63,63,All Students,Baylor University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Baylor University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,86,70,334,69,108,79,455,73,194,75,789,71,All Students,Baylor University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Baylor University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,66,41,298,48,124,72,563,65,190,61,861,59,All Students,Baylor University,17,59,65,58,72,72,7,71,27,59,21,81,24,63,92,59,93,74,Student-Athletes,Baylor University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,125,61,455,63,182,69,750,69,307,65,1205,67,All Students,Baylor University,***,***,***,***,3,100,***,***,***,***,9,100,***,***,***,***,12,100,Student-Athletes,Baylor University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Baylor University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Baylor University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,17,76,64,73,22,73,73,68,39,74,137,71,All Students,Baylor University,0,-,***,***,4,100,0,-,***,***,3,100,0,-,***,***,7,100,Student-Athletes,Baylor University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,28,75,55,85,45,89,88,91,73,84,143,89,All Students,Baylor University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Baylor University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Baylor University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Baylor University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,774,76,3266,74,1123,78,4815,77,1897,77,8081,76,All Students,Baylor University,22,73,76,61,61,90,32,75,121,75,106,96,54,74,197,70,167,94,Student-Athletes,Baylor University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1103,72,4561,71,1618,77,6875,74,2721,75,11436,73,All Students,Baylor University,40,68,147,60,142,81,41,73,158,72,140,94,81,70,305,66,282,88,Student-Athletes,Baylor University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
