School,4-Class,GSR Rate,School 2 (For some),Overall G,Overall W,Overall L,Overall W-L%
Kansas State University,75-c,0.75,Kansas State NCAA,33,20,13,0.606
Kennesaw State University,50-b,0.5,Kennesaw State,31,6,25,0.194
Kent State University,67-c,0.67,Kent State,32,16,16,0.5
La Salle University,77-c,0.77,La Salle,31,15,16,0.484
Lafayette College,90-b,0.9,Lafayette,31,11,20,0.355
Lamar University,80-b,0.8,Lamar,30,4,26,0.133
Lehigh University,90-b,0.9,Lehigh,32,14,18,0.438
Liberty University,54-c,0.54,Liberty,32,11,21,0.344
Lipscomb University,75-c,0.75,Lipscomb,30,15,15,0.5
Long Beach State University,82-c,0.82,Long Beach State,32,15,17,0.469
Long Island University,62-c,0.62,Long Island University,29,9,20,0.31
Longwood University,69-c,0.69,Longwood,32,8,24,0.25
Louisiana State University,50-b,0.5,Louisiana State,34,20,14,0.588
Louisiana Tech University,55-c,0.55,Louisiana Tech,37,29,8,0.784
Loyola Marymount University,100-b,1,Loyola Marymount,32,13,19,0.406
Loyola University Chicago,100-c,1,Loyola (IL),32,10,22,0.313
Loyola University Maryland,80-b,0.8,Loyola (MD),30,11,19,0.367
Manhattan University,73-c,0.73,Manhattan NCAA,33,25,8,0.758
Marist University,73-c,0.73,Marist,31,12,19,0.387
Marquette University,71-c,0.71,Marquette,32,17,15,0.531
Marshall University,63-b,0.63,Marshall,33,11,22,0.333
McNeese State University,88-d,0.88,McNeese State,31,11,20,0.355
Mercer University,75-d,0.75,Mercer NCAA,36,27,9,0.75
Miami University (Ohio),75-c,0.75,Miami (OH),31,13,18,0.419
Michigan State University,73-c,0.73,Michigan State NCAA,38,29,9,0.763
Middle Tennessee State University,100-c,1,Middle Tennessee,33,24,9,0.727
Mississippi State University,50-b,0.5,Mississippi State,33,14,19,0.424
Mississippi Valley State University,48-e,0.48,Mississippi Valley State,32,9,23,0.281
Missouri State University,77-c,0.77,Missouri State,33,20,13,0.606
Monmouth University,83-c,0.83,Monmouth,32,11,21,0.344
Montana State University-Bozeman,93-c,0.93,Montana State,31,14,17,0.452
Morehead State University,75-c,0.75,Morehead State,34,20,14,0.588
Morgan State University,31-c,0.31,Morgan State,31,15,16,0.484
Mount St. Mary's University,83-c,0.83,Mount St. Mary's NCAA,33,16,17,0.485
Murray State University,85-c,0.85,Murray State,34,23,11,0.676
New Jersey Institute of Technology,58-c,0.58,NJIT,29,13,16,0.448
New Mexico State University,13-b,0.13,New Mexico State NCAA,36,26,10,0.722
Niagara University,100-b,1,Niagara,33,7,26,0.212
Nicholls State University,63-b,0.63,Nicholls State,29,14,15,0.483
Norfolk State University,55-c,0.55,Norfolk State,34,19,15,0.559
North Carolina A&T State University,38-b,0.38,North Carolina A&T,32,9,23,0.281
North Carolina Central University,53-c,0.53,North Carolina Central NCAA,34,28,6,0.824
North Dakota State University,85-c,0.85,North Dakota State NCAA,33,26,7,0.788
Northeastern University,100-c,1,Northeastern,32,11,21,0.344
Northern Arizona University,80-c,0.8,Northern Arizona,32,15,17,0.469
Northern Illinois University,83-c,0.83,Northern Illinois,32,15,17,0.469
Northern Kentucky University,50-e,0.5,Northern Kentucky,30,9,21,0.3
Northwestern State University,93-c,0.93,Northwestern State,31,17,14,0.548
Northwestern University,82-c,0.82,Northwestern,33,14,19,0.424
Oakland University,92-c,0.92,Oakland,33,13,20,0.394
Ohio University,50-c,0.5,Ohio,37,25,12,0.676
Oklahoma State University,22-b,0.22,Oklahoma State NCAA,34,21,13,0.618
Old Dominion University,73-c,0.73,Old Dominion,36,18,18,0.5
Oral Roberts University,62-c,0.62,Oral Roberts,33,17,16,0.515
Oregon State University,64-c,0.64,Oregon State,32,16,16,0.5
Pennsylvania State University,100-c,1,Penn State,34,16,18,0.471
Pepperdine University,57-b,0.57,Pepperdine,31,15,16,0.484
Portland State University,88-d,0.88,Portland State,32,17,15,0.531
Prairie View A&M University,50-d,0.5,Prairie View,34,11,23,0.324
Presbyterian College,88-b,0.88,Presbyterian,32,6,26,0.188
Princeton University,100-d,1,Princeton,30,21,9,0.7
Providence College,67-c,0.67,Providence NCAA,35,23,12,0.657
Purdue University,73-c,0.73,Purdue,32,15,17,0.469
Purdue University Fort Wayne,69-c,0.69,Purdue Fort Wayne,36,25,11,0.694
Quinnipiac University,73-c,0.73,Quinnipiac,32,20,12,0.625
Radford University,86-c,0.86,Radford,35,22,13,0.629
Rice University,83-c,0.83,Rice,30,7,23,0.233
Rider University,100-c,1,Rider,31,14,17,0.452
Robert Morris University,54-c,0.54,Robert Morris,36,22,14,0.611
Rutgers The State University of New Jersey New Brunswick,100-b,1,Rutgers,33,12,21,0.364
Sacred Heart University,73-c,0.73,Sacred Heart,31,5,26,0.161
Saint Francis University,100-c,1,Saint Francis (PA),31,10,21,0.323
Saint Joseph's University,90-b,0.9,Saint Joseph's NCAA,34,24,10,0.706
Saint Louis University,57-b,0.57,Saint Louis NCAA,34,27,7,0.794
Saint Mary's College of California,91-c,0.91,Saint Mary's (CA),35,23,12,0.657
Saint Peter's University,80-b,0.8,Saint Peter's,31,14,17,0.452
Sam Houston State University,67-c,0.67,Sam Houston,35,24,11,0.686
Samford University,100-b,1,Samford,33,13,20,0.394
San Diego State University,63-d,0.63,San Diego State NCAA,36,31,5,0.861
San Jose State University,36-c,0.36,San Jose State,31,7,24,0.226
Santa Clara University,100-b,1,Santa Clara,33,14,19,0.424
Savannah State University,69-c,0.69,Savannah State,32,13,19,0.406
Seattle University,91-c,0.91,Seattle,30,13,17,0.433
Seton Hall University,78-b,0.78,Seton Hall,34,17,17,0.5
Siena College,82-c,0.82,Siena,38,20,18,0.526
South Carolina State University,92-c,0.92,South Carolina State,30,9,21,0.3
South Dakota State University,58-c,0.58,South Dakota State,32,19,13,0.594
Southeast Missouri State University,63-d,0.63,Southeast Missouri State,32,18,14,0.563
Southeastern Louisiana University,77-c,0.77,Southeastern Louisiana,30,12,18,0.4
Southern Illinois University at Carbondale,58-c,0.58,Southern Illinois,33,14,19,0.424
Southern Illinois University Edwardsville,63-b,0.63,SIU Edwardsville,31,11,20,0.355
Southern Methodist University,75-d,0.75,Southern Methodist,37,27,10,0.73
Southern University Baton Rouge,45-c,0.45,Southern,32,19,13,0.594
Southern Utah University,36-c,0.36,Southern Utah,29,2,27,0.069
St. Bonaventure University,70-b,0.7,St. Bonaventure,33,18,15,0.545
St. Francis College Brooklyn,83-c,0.83,St. Francis (NY),32,18,14,0.563
St. John's University (New York),83-c,0.83,St. John's (NY),33,20,13,0.606
Stanford University,83-c,0.83,Stanford NCAA,36,23,13,0.639
Stephen F. Austin State University,53-d,0.53,Stephen F. Austin NCAA,35,32,3,0.914
Stetson University,93-c,0.93,Stetson,31,7,24,0.226
Stony Brook University,63-b,0.63,Stony Brook,34,23,11,0.676
Syracuse University,45-c,0.45,Syracuse NCAA,34,28,6,0.824
Temple University,82-c,0.82,Temple,31,9,22,0.29
Tennessee State University,50-c,0.5,Tennessee State,30,5,25,0.167
Tennessee Technological University,79-c,0.79,Tennessee Tech,33,17,16,0.515
Texas A&M University-Corpus Christi,46-c,0.46,Texas A&M-Corpus Christi,34,18,16,0.529
Texas Christian University,69-d,0.69,TCU,31,9,22,0.29
Texas Southern University,52-e,0.52,Texas Southern NCAA,34,19,15,0.559
Texas State University,77-c,0.77,Texas State,31,8,23,0.258
Texas Tech University,100-c,1,Texas Tech,32,14,18,0.438
The Ohio State University,53-c,0.53,Ohio State NCAA,35,25,10,0.714
The University of North Carolina at Charlotte,64-c,0.64,Charlotte,31,17,14,0.548
The University of North Carolina at Greensboro,69-d,0.69,UNC Greensboro,32,14,18,0.438
The University of Southern Mississippi,54-c,0.54,Southern Mississippi,36,29,7,0.806
The University of Texas Rio Grande Valley,67-c,0.67,Texas-Rio Grande Valley,32,9,23,0.281
The University of Tulsa,100-b,1,Tulsa NCAA,34,21,13,0.618
Towson University,46-c,0.46,Towson,36,25,11,0.694
Troy University,87-c,0.87,Troy,31,11,20,0.355
Tulane University,100-c,1,Tulane,34,17,17,0.5
U.S. Air Force Academy,81-d,0.81,Air Force,30,12,18,0.4
U.S. Military Academy,100-e,1,Army,31,15,16,0.484
U.S. Naval Academy,85-e,0.85,Navy,30,9,21,0.3
University at Albany,80-c,0.8,Albany (NY) NCAA,34,19,15,0.559
University at Buffalo the State University of New York,64-c,0.64,Buffalo,29,19,10,0.655
University of Akron,89-b,0.89,Akron,34,21,13,0.618
University of Alabama,87-c,0.87,Alabama,32,13,19,0.406
University of Alabama at Birmingham,53-d,0.53,UAB,31,18,13,0.581
University of Arizona,82-c,0.82,Arizona NCAA,38,33,5,0.868
University of Arkansas at Little Rock,87-c,0.87,Little Rock,32,15,17,0.469
University of Arkansas Fayetteville,55-c,0.55,Arkansas,34,22,12,0.647
University of Arkansas Pine Bluff,50-d,0.5,Arkansas-Pine Bluff,31,13,18,0.419
University of California Berkeley,46-c,0.46,California,35,21,14,0.6
University of California Davis,82-c,0.82,UC Davis,31,9,22,0.29
University of California Irvine,82-c,0.82,UC Irvine,35,23,12,0.657
University of California Los Angeles,60-b,0.6,UCLA NCAA,37,28,9,0.757
University of California Riverside,47-d,0.47,UC Riverside,31,10,21,0.323
University of California Santa Barbara,55-c,0.55,UC Santa Barbara,30,21,9,0.7
University of Central Arkansas,71-d,0.71,Central Arkansas,29,8,21,0.276
University of Central Florida,67-b,0.67,UCF,31,13,18,0.419
University of Cincinnati,43-c,0.43,Cincinnati NCAA,34,27,7,0.794
University of Colorado Boulder,78-b,0.78,Colorado NCAA,35,23,12,0.657
University of Connecticut,17-c,0.17,Connecticut NCAA,40,32,8,0.8
University of Dayton,100-c,1,Dayton NCAA,37,26,11,0.703
University of Delaware,80-b,0.8,Delaware NCAA,35,25,10,0.714
University of Denver,89-b,0.89,Denver,31,16,15,0.516
University of Detroit Mercy,64-c,0.64,Detroit Mercy,32,13,19,0.406
University of Evansville,64-c,0.64,Evansville,33,14,19,0.424
University of Florida,80-a,0.8,Florida NCAA,39,36,3,0.923
University of Georgia,71-b,0.71,Georgia,34,20,14,0.588
University of Hartford,83-c,0.83,Hartford,33,17,16,0.515
University of Hawaii Manoa,69-c,0.69,Hawaii,31,20,11,0.645
University of Houston,25-c,0.25,Houston,33,17,16,0.515
University of Idaho,72-d,0.72,Idaho,34,16,18,0.471
University of Illinois Chicago,64-c,0.64,Illinois-Chicago,31,6,25,0.194
University of Iowa,100-b,1,Iowa NCAA,33,20,13,0.606
University of Kansas,100-b,1,Kansas NCAA,35,25,10,0.714
University of Kentucky,89-b,0.89,Kentucky NCAA,40,29,11,0.725
University of Louisiana at Lafayette,63-b,0.63,Lafayette,31,11,20,0.355
University of Louisiana Monroe,30-d,0.3,Louisiana-Monroe,27,10,17,0.37
University of Louisville,58-c,0.58,Louisville NCAA,37,31,6,0.838
University of Maine,83-c,0.83,Maine,29,6,23,0.207
University of Maryland Baltimore County,80-b,0.8,Maryland-Baltimore County,30,9,21,0.3
University of Maryland College Park,100-b,1,Maryland,32,17,15,0.531
University of Maryland Eastern Shore,100-b,1,Maryland-Eastern Shore,30,6,24,0.2
