School,4-Class,GSR Rate,School,Overall G,Overall W,Overall L,Overall W-L%
Houston Christian University,67-c,0.67,Houston Christian,29,12,17,0.414
Howard University,79-c,0.79,Howard,31,11,20,0.355
Idaho State University,73-c,0.73,Idaho State,31,14,17,0.452
Illinois State University,93-c,0.93,Illinois State,30,10,20,0.333
Indiana State University,83-c,0.83,Indiana State,32,20,12,0.625
Indiana University Bloomington,90-b,0.9,Indiana,34,21,13,0.618
Indiana University Indianapolis,67-c,0.67,IU Indy,33,23,10,0.697
Iona University,100-c,1,Iona,32,26,6,0.813
Iowa State University,100-c,1,Iowa State NCAA,31,20,11,0.645
Jackson State University,75-d,0.75,Jackson State,30,15,15,0.5
Jacksonville State University,83-c,0.83,Jacksonville State,32,14,18,0.438
Jacksonville University,100-c,1,Jacksonville,30,13,17,0.433
James Madison University,83-c,0.83,James Madison NCAA,35,29,6,0.829
Kansas State University,100-c,1,Kansas State,30,11,19,0.367
Kennesaw State University,86-c,0.86,Kennesaw State,30,6,24,0.2
Kent State University,80-c,0.8,Kent State,30,7,23,0.233
La Salle University,100-c,1,La Salle,30,15,15,0.5
Lafayette College,100-c,1,Lafayette,30,14,16,0.467
Lamar University,83-d,0.83,Lamar,31,18,13,0.581
Lehigh University,94-d,0.94,Lehigh,31,13,18,0.419
Liberty University,86-c,0.86,Liberty,31,20,11,0.645
Lipscomb University,100-b,1,Lipscomb,30,6,24,0.2
Long Beach State University,92-c,0.92,Long Beach State,32,17,15,0.531
Long Island University,92-c,0.92,Long Island University,30,9,21,0.3
Longwood University,86-c,0.86,Longwood,30,8,22,0.267
Louisiana State University,92-c,0.92,Louisiana State NCAA,34,21,13,0.618
Louisiana Tech University,100-c,1,Louisiana Tech,32,12,20,0.375
Loyola Marymount University,88-d,0.88,Loyola Marymount,30,9,21,0.3
Loyola University Chicago,87-c,0.87,Loyola (IL),32,11,21,0.344
Loyola University Maryland,100-c,1,Loyola (MD),30,6,24,0.2
Manhattan University,100-c,1,Manhattan,30,9,21,0.3
Marist University,91-c,0.91,Marist NCAA,34,27,7,0.794
Marquette University,93-c,0.93,Marquette,33,22,11,0.667
Marshall University,64-c,0.64,Marshall,31,11,20,0.355
McNeese State University,61-d,0.61,McNeese State,33,19,14,0.576
Mercer University,93-c,0.93,McNeese State,33,19,14,0.576
Miami University (Ohio),69-c,0.69,Miami (OH),30,8,22,0.267
Michigan State University,91-c,0.91,Michigan State NCAA,33,23,10,0.697
