School,Metric,All Students,Student-Athletes
California State University Fresno,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
California State University Fresno,2007-08 Graduation Rate,49%,58%
California State University Fresno,Four-Class Average,49%,57%
California State University Fresno,Student-Athlete Graduation Success Rate,,73%
California State University Fullerton,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
California State University Fullerton,2007-08 Graduation Rate,53%,59%
California State University Fullerton,Four-Class Average,52%,52%
California State University Fullerton,Student-Athlete Graduation Success Rate,,71%
California State University Northridge,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
California State University Northridge,2007-08 Graduation Rate,46%,58%
California State University Northridge,Four-Class Average,47%,58%
California State University Northridge,Student-Athlete Graduation Success Rate,,68%
California State University Sacramento,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
California State University Sacramento,2007-08 Graduation Rate,41%,64%
California State University Sacramento,Four-Class Average,41%,59%
California State University Sacramento,Student-Athlete Graduation Success Rate,,73%
Campbell University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Campbell University,2007-08 Graduation Rate,49%,62%
Campbell University,Four-Class Average,51%,60%
Campbell University,Student-Athlete Graduation Success Rate,,83%
Canisius University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Canisius University,2007-08 Graduation Rate,68%,78%
Canisius University,Four-Class Average,68%,71%
Canisius University,Student-Athlete Graduation Success Rate,,84%
Centenary College (Louisiana),FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Centenary College (Louisiana),2007-08 Graduation Rate,59%,49%
Centenary College (Louisiana),Four-Class Average,58%,49%
Centenary College (Louisiana),Student-Athlete Graduation Success Rate,,100%
Central Connecticut State University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Central Connecticut State University,2007-08 Graduation Rate,52%,49%
Central Connecticut State University,Four-Class Average,50%,55%
Central Connecticut State University,Student-Athlete Graduation Success Rate,,74%
Central Michigan University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Central Michigan University,2007-08 Graduation Rate,59%,59%
Central Michigan University,Four-Class Average,56%,59%
Central Michigan University,Student-Athlete Graduation Success Rate,,75%
Charleston Southern University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Charleston Southern University,2007-08 Graduation Rate,36%,47%
Charleston Southern University,Four-Class Average,37%,51%
Charleston Southern University,Student-Athlete Graduation Success Rate,,74%
Chicago State University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Chicago State University,2007-08 Graduation Rate,21%,47%
Chicago State University,Four-Class Average,19%,52%
Chicago State University,Student-Athlete Graduation Success Rate,,65%
Clemson University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Clemson University,2007-08 Graduation Rate,83%,71%
Clemson University,Four-Class Average,80%,71%
Clemson University,Student-Athlete Graduation Success Rate,,91%
Cleveland State University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Cleveland State University,2007-08 Graduation Rate,32%,55%
Cleveland State University,Four-Class Average,31%,57%
Cleveland State University,Student-Athlete Graduation Success Rate,,82%
Coastal Carolina University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Coastal Carolina University,2007-08 Graduation Rate,46%,66%
Coastal Carolina University,Four-Class Average,46%,56%
Coastal Carolina University,Student-Athlete Graduation Success Rate,,83%
Colgate University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Colgate University,2007-08 Graduation Rate,91%,84%
Colgate University,Four-Class Average,90%,87%
Colgate University,Student-Athlete Graduation Success Rate,,98%
College of Charleston (South Carolina),FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
College of Charleston (South Carolina),2007-08 Graduation Rate,64%,63%
College of Charleston (South Carolina),Four-Class Average,66%,67%
College of Charleston (South Carolina),Student-Athlete Graduation Success Rate,,74%
College of the Holy Cross,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
College of the Holy Cross,2007-08 Graduation Rate,91%,91%
College of the Holy Cross,Four-Class Average,92%,91%
College of the Holy Cross,Student-Athlete Graduation Success Rate,,99%
Colorado State University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Colorado State University,2007-08 Graduation Rate,64%,70%
Colorado State University,Four-Class Average,64%,68%
Colorado State University,Student-Athlete Graduation Success Rate,,83%
Columbia University-Barnard College,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Columbia University-Barnard College,2007-08 Graduation Rate,93%,-
Columbia University-Barnard College,Four-Class Average,93%,-
Columbia University-Barnard College,Student-Athlete Graduation Success Rate,,97%
Coppin State University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Coppin State University,2007-08 Graduation Rate,14%,31%
Coppin State University,Four-Class Average,15%,43%
Coppin State University,Student-Athlete Graduation Success Rate,,73%
Cornell University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Cornell University,2007-08 Graduation Rate,93%,-
Cornell University,Four-Class Average,93%,-
Cornell University,Student-Athlete Graduation Success Rate,,95%
Creighton University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Creighton University,2007-08 Graduation Rate,76%,65%
Creighton University,Four-Class Average,76%,74%
Creighton University,Student-Athlete Graduation Success Rate,,96%
Dartmouth College,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Dartmouth College,2007-08 Graduation Rate,95%,-
Dartmouth College,Four-Class Average,95%,-
Dartmouth College,Student-Athlete Graduation Success Rate,,99%
