School,Metric,All Students,Student-Athletes
California State University Bakersfield,2017-18 Graduation Rate,49%,60%
California State University Bakersfield,Four-Class Average,48%,61%
California State University Bakersfield,Student-Athlete Graduation Success Rate,,90%
California State University Fresno,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
California State University Fresno,2017-18 Graduation Rate,25%,62%
California State University Fresno,Four-Class Average,49%,59%
California State University Fresno,Student-Athlete Graduation Success Rate,,83%
California State University Fullerton,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
California State University Fullerton,2017-18 Graduation Rate,69%,67%
California State University Fullerton,Four-Class Average,70%,57%
California State University Fullerton,Student-Athlete Graduation Success Rate,,80%
California State University Northridge,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
California State University Northridge,2017-18 Graduation Rate,56%,62%
California State University Northridge,Four-Class Average,55%,58%
California State University Northridge,Student-Athlete Graduation Success Rate,,79%
California State University Sacramento,"California State University,",,Sacramento
California State University Sacramento,FRESHMAN-COHORT GRADUATION RATES A,,ll Students Student-Athletes
California State University Sacramento,2017-18 Graduation Rate,,56% 67%
California State University Sacramento,Four-Class Average,,56% 67%
California State University Sacramento,Student-Athlete Graduation Success Rate,,84%
Campbell University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Campbell University,2017-18 Graduation Rate,56%,54%
Campbell University,Four-Class Average,56%,61%
Campbell University,Student-Athlete Graduation Success Rate,,93%
Canisius University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Canisius University,2017-18 Graduation Rate,71%,65%
Canisius University,Four-Class Average,69%,71%
Canisius University,Student-Athlete Graduation Success Rate,,97%
Central Connecticut State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Central Connecticut State University,2017-18 Graduation Rate,49%,60%
Central Connecticut State University,Four-Class Average,52%,57%
Central Connecticut State University,Student-Athlete Graduation Success Rate,,79%
Central Michigan University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Central Michigan University,2017-18 Graduation Rate,62%,76%
Central Michigan University,Four-Class Average,62%,73%
Central Michigan University,Student-Athlete Graduation Success Rate,,90%
Charleston Southern University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Charleston Southern University,2017-18 Graduation Rate,48%,53%
Charleston Southern University,Four-Class Average,47%,59%
Charleston Southern University,Student-Athlete Graduation Success Rate,,85%
Chicago State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Chicago State University,2017-18 Graduation Rate,17%,36%
Chicago State University,Four-Class Average,19%,31%
Chicago State University,Student-Athlete Graduation Success Rate,,71%
Clemson University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Clemson University,2017-18 Graduation Rate,88%,72%
Clemson University,Four-Class Average,86%,74%
Clemson University,Student-Athlete Graduation Success Rate,,96%
Cleveland State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Cleveland State University,2017-18 Graduation Rate,49%,64%
Cleveland State University,Four-Class Average,49%,67%
Cleveland State University,Student-Athlete Graduation Success Rate,,91%
Coastal Carolina University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Coastal Carolina University,2017-18 Graduation Rate,51%,65%
Coastal Carolina University,Four-Class Average,49%,58%
Coastal Carolina University,Student-Athlete Graduation Success Rate,,89%
Colgate University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Colgate University,2017-18 Graduation Rate,91%,88%
Colgate University,Four-Class Average,91%,91%
Colgate University,Student-Athlete Graduation Success Rate,,97%
College of Charleston (South Carolina),FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
College of Charleston (South Carolina),2017-18 Graduation Rate,65%,63%
College of Charleston (South Carolina),Four-Class Average,66%,69%
College of Charleston (South Carolina),Student-Athlete Graduation Success Rate,,91%
College of the Holy Cross,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
College of the Holy Cross,2017-18 Graduation Rate,90%,88%
College of the Holy Cross,Four-Class Average,91%,89%
College of the Holy Cross,Student-Athlete Graduation Success Rate,,98%
Colorado State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Colorado State University,2017-18 Graduation Rate,67%,79%
Colorado State University,Four-Class Average,68%,70%
Colorado State University,Student-Athlete Graduation Success Rate,,87%
Columbia University-Barnard College,FRESHMAN-COHORT GRADUATION RATES All Students Student-Ath,,letes
Columbia University-Barnard College,2017-18 Graduation Rate,95%,-
Columbia University-Barnard College,Four-Class Average,96%,-
Columbia University-Barnard College,Student-Athlete Graduation Success Rate,,99%
Coppin State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Coppin State University,2017-18 Graduation Rate,26%,26%
Coppin State University,Four-Class Average,26%,40%
Coppin State University,Student-Athlete Graduation Success Rate,,79%
Cornell University,FRESHMAN-COHORT GRADUATION RATES All Students Student-Ath,,letes
Cornell University,2017-18 Graduation Rate,95%,-
Cornell University,Four-Class Average,95%,-
Cornell University,Student-Athlete Graduation Success Rate,,98%
Creighton University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Creighton University,2017-18 Graduation Rate,81%,73%
Creighton University,Four-Class Average,80%,65%
Creighton University,Student-Athlete Graduation Success Rate,,97%
Dartmouth College,FRESHMAN-COHORT GRADUATION RATES All Students Student-Ath,,letes
Dartmouth College,2017-18 Graduation Rate,97%,-
Dartmouth College,Four-Class Average,95%,-
Dartmouth College,Student-Athlete Graduation Success Rate,,97%
Davidson College,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Davidson College,2017-18 Graduation Rate,92%,95%
Davidson College,Four-Class Average,91%,93%
Davidson College,Student-Athlete Graduation Success Rate,,98%
DePaul University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
DePaul University,2017-18 Graduation Rate,70%,78%
DePaul University,Four-Class Average,70%,73%
DePaul University,Student-Athlete Graduation Success Rate,,95%
Delaware State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Delaware State University,2017-18 Graduation Rate,39%,52%
Delaware State University,Four-Class Average,45%,51%
Delaware State University,Student-Athlete Graduation Success Rate,,81%
Drake University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Drake University,2017-18 Graduation Rate,79%,80%
Drake University,Four-Class Average,78%,77%
Drake University,Student-Athlete Graduation Success Rate,,93%
Drexel University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Drexel University,2017-18 Graduation Rate,77%,80%
Drexel University,Four-Class Average,76%,78%
Drexel University,Student-Athlete Graduation Success Rate,,93%
Duke University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Duke University,2017-18 Graduation Rate,96%,82%
Duke University,Four-Class Average,96%,86%
Duke University,Student-Athlete Graduation Success Rate,,97%
Duquesne University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Duquesne University,2017-18 Graduation Rate,75%,69%
Duquesne University,Four-Class Average,76%,75%
Duquesne University,Student-Athlete Graduation Success Rate,,92%
East Carolina University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
East Carolina University,2017-18 Graduation Rate,62%,63%
East Carolina University,Four-Class Average,65%,63%
East Carolina University,Student-Athlete Graduation Success Rate,,87%
East Tennessee State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
East Tennessee State University,2017-18 Graduation Rate,50%,61%
East Tennessee State University,Four-Class Average,51%,65%
East Tennessee State University,Student-Athlete Graduation Success Rate,,84%
Eastern Illinois University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Eastern Illinois University,2017-18 Graduation Rate,45%,62%
Eastern Illinois University,Four-Class Average,50%,61%
Eastern Illinois University,Student-Athlete Graduation Success Rate,,87%
Eastern Kentucky University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Eastern Kentucky University,2017-18 Graduation Rate,55%,64%
Eastern Kentucky University,Four-Class Average,53%,61%
Eastern Kentucky University,Student-Athlete Graduation Success Rate,,90%
Eastern Michigan University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Eastern Michigan University,2017-18 Graduation Rate,46%,70%
Eastern Michigan University,Four-Class Average,47%,65%
Eastern Michigan University,Student-Athlete Graduation Success Rate,,89%
Eastern Washington University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Eastern Washington University,2017-18 Graduation Rate -,,62%
Eastern Washington University,Four-Class Average,45%,62%
Eastern Washington University,Student-Athlete Graduation Success Rate,,86%
Elon University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Elon University,2017-18 Graduation Rate,83%,82%
Elon University,Four-Class Average,83%,81%
Elon University,Student-Athlete Graduation Success Rate,,96%
Fairfield University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Fairfield University,2017-18 Graduation Rate,84%,82%
Fairfield University,Four-Class Average,84%,77%
Fairfield University,Student-Athlete Graduation Success Rate,,94%
Florida A&M University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Florida A&M University,2017-18 Graduation Rate,52%,57%
Florida A&M University,Four-Class Average,55%,51%
Florida A&M University,Student-Athlete Graduation Success Rate,,69%
Florida Atlantic University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Florida Atlantic University,2017-18 Graduation Rate,64%,54%
Florida Atlantic University,Four-Class Average,59%,60%
Florida Atlantic University,Student-Athlete Graduation Success Rate,,90%
Florida Gulf Coast University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Florida Gulf Coast University,2017-18 Graduation Rate,56%,64%
Florida Gulf Coast University,Four-Class Average,56%,69%
Florida Gulf Coast University,Student-Athlete Graduation Success Rate,,94%
Florida International University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Florida International University,2017-18 Graduation Rate,75%,58%
Florida International University,Four-Class Average,70%,62%
Florida International University,Student-Athlete Graduation Success Rate,,89%
Florida State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Florida State University,2017-18 Graduation Rate,83%,66%
Florida State University,Four-Class Average,84%,65%
Florida State University,Student-Athlete Graduation Success Rate,,89%
Fordham University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Fordham University,2017-18 Graduation Rate,80%,89%
Fordham University,Four-Class Average,82%,83%
Fordham University,Student-Athlete Graduation Success Rate,,97%
Furman University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Furman University,2017-18 Graduation Rate,81%,72%
Furman University,Four-Class Average,82%,77%
Furman University,Student-Athlete Graduation Success Rate,,96%
Gardner-Webb University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Gardner-Webb University,2017-18 Graduation Rate,57%,71%
Gardner-Webb University,Four-Class Average,52%,61%
Gardner-Webb University,Student-Athlete Graduation Success Rate,,90%
George Mason University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
George Mason University,2017-18 Graduation Rate,69%,72%
George Mason University,Four-Class Average,70%,66%
George Mason University,Student-Athlete Graduation Success Rate,,92%
George Washington University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
George Washington University,2017-18 Graduation Rate,85%,75%
George Washington University,Four-Class Average,85%,77%
George Washington University,Student-Athlete Graduation Success Rate,,94%
Georgetown University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Georgetown University,2017-18 Graduation Rate,94%,87%
Georgetown University,Four-Class Average,95%,87%
Georgetown University,Student-Athlete Graduation Success Rate,,98%
Georgia Institute of Technology,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Georgia Institute of Technology,2017-18 Graduation Rate,92%,77%
Georgia Institute of Technology,Four-Class Average,92%,76%
Georgia Institute of Technology,Student-Athlete Graduation Success Rate,,94%
Georgia Southern University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Georgia Southern University,2017-18 Graduation Rate,53%,51%
Georgia Southern University,Four-Class Average,54%,58%
Georgia Southern University,Student-Athlete Graduation Success Rate,,86%
Georgia State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Georgia State University,2017-18 Graduation Rate,54%,63%
Georgia State University,Four-Class Average,55%,65%
Georgia State University,Student-Athlete Graduation Success Rate,,86%
Gonzaga University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Gonzaga University,2017-18 Graduation Rate,87%,83%
Gonzaga University,Four-Class Average,87%,83%
Gonzaga University,Student-Athlete Graduation Success Rate,,96%
Grambling State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Grambling State University,2017-18 Graduation Rate,32%,49%
Grambling State University,Four-Class Average,34%,62%
Grambling State University,Student-Athlete Graduation Success Rate,,80%
Grand Canyon University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Grand Canyon University,2017-18 Graduation Rate,43%,68%
Grand Canyon University,Four-Class Average,45%,66%
Grand Canyon University,Student-Athlete Graduation Success Rate,,92%
Hampton University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Hampton University,2017-18 Graduation Rate,55%,41%
Hampton University,Four-Class Average,56%,58%
Hampton University,Student-Athlete Graduation Success Rate,,79%
Harvard University,FRESHMAN-COHORT GRADUATION RATES All Students Student-Ath,,letes
Harvard University,2017-18 Graduation Rate,98%,-
Harvard University,Four-Class Average,98%,-
Harvard University,Student-Athlete Graduation Success Rate,,99%
High Point University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
High Point University,2017-18 Graduation Rate,70%,64%
High Point University,Four-Class Average,69%,66%
High Point University,Student-Athlete Graduation Success Rate,,94%
Hofstra University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Hofstra University,2017-18 Graduation Rate,67%,68%
Hofstra University,Four-Class Average,67%,68%
Hofstra University,Student-Athlete Graduation Success Rate,,97%
Houston Christian University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Houston Christian University,2017-18 Graduation Rate,50%,62%
Houston Christian University,Four-Class Average,48%,70%
Houston Christian University,Student-Athlete Graduation Success Rate,,87%
Howard University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Howard University,2017-18 Graduation Rate,69%,65%
Howard University,Four-Class Average,66%,68%
Howard University,Student-Athlete Graduation Success Rate,,80%
Idaho State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Idaho State University,2017-18 Graduation Rate,35%,51%
Idaho State University,Four-Class Average,35%,61%
Idaho State University,Student-Athlete Graduation Success Rate,,87%
Illinois State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Illinois State University,2017-18 Graduation Rate,66%,73%
Illinois State University,Four-Class Average,67%,69%
Illinois State University,Student-Athlete Graduation Success Rate,,90%
Indiana State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Indiana State University,2017-18 Graduation Rate,41%,67%
Indiana State University,Four-Class Average,42%,61%
Indiana State University,Student-Athlete Graduation Success Rate,,84%
Indiana University Bloomington,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Indiana University Bloomington,2017-18 Graduation Rate,81%,71%
Indiana University Bloomington,Four-Class Average,81%,70%
Indiana University Bloomington,Student-Athlete Graduation Success Rate,,91%
Iona University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Iona University,2017-18 Graduation Rate,57%,70%
Iona University,Four-Class Average,59%,74%
Iona University,Student-Athlete Graduation Success Rate,,91%
Iowa State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Iowa State University,2017-18 Graduation Rate,75%,74%
Iowa State University,Four-Class Average,75%,68%
Iowa State University,Student-Athlete Graduation Success Rate,,95%
Jackson State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Jackson State University,2017-18 Graduation Rate,32%,57%
Jackson State University,Four-Class Average,38%,56%
Jackson State University,Student-Athlete Graduation Success Rate,,87%
Jacksonville State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Jacksonville State University,2017-18 Graduation Rate,51%,71%
Jacksonville State University,Four-Class Average,50%,66%
Jacksonville State University,Student-Athlete Graduation Success Rate,,88%
Jacksonville University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Jacksonville University,2017-18 Graduation Rate,57%,65%
Jacksonville University,Four-Class Average,53%,61%
Jacksonville University,Student-Athlete Graduation Success Rate,,93%
James Madison University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
James Madison University,2017-18 Graduation Rate,81%,69%
James Madison University,Four-Class Average,82%,71%
James Madison University,Student-Athlete Graduation Success Rate,,90%
Kansas State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Kansas State University,2017-18 Graduation Rate,70%,64%
Kansas State University,Four-Class Average,69%,63%
Kansas State University,Student-Athlete Graduation Success Rate,,92%
Kennesaw State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Kennesaw State University,2017-18 Graduation Rate,48%,60%
Kennesaw State University,Four-Class Average,48%,59%
Kennesaw State University,Student-Athlete Graduation Success Rate,,84%
Kent State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Kent State University,2017-18 Graduation Rate,65%,70%
Kent State University,Four-Class Average,66%,73%
Kent State University,Student-Athlete Graduation Success Rate,,90%
La Salle University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
La Salle University,2017-18 Graduation Rate,63%,70%
La Salle University,Four-Class Average,64%,75%
La Salle University,Student-Athlete Graduation Success Rate,,93%
Lafayette College,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Lafayette College,2017-18 Graduation Rate,88%,86%
Lafayette College,Four-Class Average,89%,84%
Lafayette College,Student-Athlete Graduation Success Rate,,97%
Lamar University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Lamar University,2017-18 Graduation Rate,37%,54%
Lamar University,Four-Class Average,38%,55%
Lamar University,Student-Athlete Graduation Success Rate,,80%
Lehigh University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Lehigh University,2017-18 Graduation Rate,89%,92%
Lehigh University,Four-Class Average,89%,93%
Lehigh University,Student-Athlete Graduation Success Rate,,97%
Liberty University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Liberty University,2017-18 Graduation Rate,62%,71%
Liberty University,Four-Class Average,60%,69%
Liberty University,Student-Athlete Graduation Success Rate,,92%
Lipscomb University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Lipscomb University,2017-18 Graduation Rate,69%,68%
Lipscomb University,Four-Class Average,69%,73%
Lipscomb University,Student-Athlete Graduation Success Rate,,91%
Long Beach State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Long Beach State University,2017-18 Graduation Rate,71%,55%
Long Beach State University,Four-Class Average,72%,58%
Long Beach State University,Student-Athlete Graduation Success Rate,,85%
Long Island University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Long Island University,2017-18 Graduation Rate,53%,65%
Long Island University,Four-Class Average,47%,67%
Long Island University,Student-Athlete Graduation Success Rate,,98%
Longwood University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Longwood University,2017-18 Graduation Rate,62%,56%
Longwood University,Four-Class Average,65%,64%
Longwood University,Student-Athlete Graduation Success Rate,,88%
Louisiana State University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Louisiana State University,2017-18 Graduation Rate,68%,61%
Louisiana State University,Four-Class Average,66%,62%
Louisiana State University,Student-Athlete Graduation Success Rate,,89%
Louisiana Tech University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Louisiana Tech University,2017-18 Graduation Rate,58%,51%
Louisiana Tech University,Four-Class Average,58%,58%
Louisiana Tech University,Student-Athlete Graduation Success Rate,,86%
Loyola Marymount University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Loyola Marymount University,2017-18 Graduation Rate,80%,78%
Loyola Marymount University,Four-Class Average,81%,74%
Loyola Marymount University,Student-Athlete Graduation Success Rate,,95%
Loyola University Chicago,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Loyola University Chicago,2017-18 Graduation Rate,76%,81%
Loyola University Chicago,Four-Class Average,74%,71%
Loyola University Chicago,Student-Athlete Graduation Success Rate,,94%
Loyola University Maryland,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Loyola University Maryland,2017-18 Graduation Rate,80%,87%
Loyola University Maryland,Four-Class Average,80%,79%
Loyola University Maryland,Student-Athlete Graduation Success Rate,,96%
Manhattan University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Manhattan University,2017-18 Graduation Rate,66%,70%
Manhattan University,Four-Class Average,72%,78%
Manhattan University,Student-Athlete Graduation Success Rate,,96%
Marist University,FRESHMAN-COHORT GRADUATION RATES All Students,,Student-Athletes
Marist University,2017-18 Graduation Rate,80%,73%
Marist University,Four-Class Average,82%,82%
Marist University,Student-Athlete Graduation Success Rate,,98%
