School,Basketball Players,Graduation ,GSR Rate,School2,Overall G,Overall W,Overall L,Overall W-L%
Texas State University,12,100-c,0.82,#N/A,#N/A,#N/A,#N/A,#N/A
Texas Tech University,11,92-c,1,Texas Tech,30,6,24,0.515
The Citadel,0,92-c,No Match,#N/A,#N/A,#N/A,#N/A,#N/A
The Ohio State University,13,93-c,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
The University of North Carolina at Charlotte,14,65-d,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
The University of North Carolina at Greensboro,13,88-d,0.93,#N/A,#N/A,#N/A,#N/A,#N/A
The University of Southern Mississippi,12,91-c,0.65,#N/A,#N/A,#N/A,#N/A,#N/A
The University of Texas Rio Grande Valley,15,67-c,0.88,#N/A,#N/A,#N/A,#N/A,#N/A
The University of Tulsa,15,80-b,0.91,#N/A,#N/A,#N/A,#N/A,#N/A
Towson University,15,100-b,0.67,Towson,30,13,17,0.529
Troy University,14,94-d,0.8,Troy,30,12,18,0.429
Tulane University,14,100-e,1,Tulane,31,20,11,0.31
U.S. Air Force Academy,0,95-d,0.94,#N/A,#N/A,#N/A,#N/A,#N/A
U.S. Military Academy,0,85-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
U.S. Naval Academy,0,93-c,0.95,#N/A,#N/A,#N/A,#N/A,#N/A
University at Albany,13,77-c,0.85,#N/A,#N/A,#N/A,#N/A,#N/A
University at Buffalo the State University of New York,14,92-c,0.93,#N/A,#N/A,#N/A,#N/A,#N/A
University of Akron,14,77-c,0.77,#N/A,#N/A,#N/A,#N/A,#N/A
University of Alabama,17,75-d,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
University of Alabama at Birmingham,15,77-c,0.77,#N/A,#N/A,#N/A,#N/A,#N/A
University of Arizona,15,75-b,0.75,#N/A,#N/A,#N/A,#N/A,#N/A
University of Arkansas Fayetteville,11,65-d,0.75,#N/A,#N/A,#N/A,#N/A,#N/A
University of Arkansas Pine Bluff,12,73-c,0.65,#N/A,#N/A,#N/A,#N/A,#N/A
University of Arkansas at Little Rock,14,92-c,0.77,#N/A,#N/A,#N/A,#N/A,#N/A
University of California Berkeley,13,77-c,0.73,#N/A,#N/A,#N/A,#N/A,#N/A
University of California Davis,11,100-c,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
University of California Irvine,16,72-d,0.77,#N/A,#N/A,#N/A,#N/A,#N/A
University of California Los Angeles,13,77-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of California Riverside,13,75-d,0.72,#N/A,#N/A,#N/A,#N/A,#N/A
University of California Santa Barbara,10,86-b,0.77,#N/A,#N/A,#N/A,#N/A,#N/A
University of Central Arkansas,12,83-c,0.75,#N/A,#N/A,#N/A,#N/A,#N/A
University of Central Florida,13,100-c,0.86,#N/A,#N/A,#N/A,#N/A,#N/A
University of Cincinnati,14,100-c,0.83,#N/A,#N/A,#N/A,#N/A,#N/A
University of Colorado Boulder,13,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Connecticut,10,83-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Dayton,12,92-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Delaware,12,91-c,0.83,#N/A,#N/A,#N/A,#N/A,#N/A
University of Denver,15,100-c,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
University of Detroit Mercy,13,100-c,0.91,#N/A,#N/A,#N/A,#N/A,#N/A
University of Evansville,12,91-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Florida,10,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Georgia,14,83-c,0.91,#N/A,#N/A,#N/A,#N/A,#N/A
University of Hartford,14,55-d,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Hawaii Manoa,13,100-d,0.83,#N/A,#N/A,#N/A,#N/A,#N/A
University of Houston,15,88-d,0.55,#N/A,#N/A,#N/A,#N/A,#N/A
University of Idaho,11,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Illinois Chicago,13,92-c,0.88,#N/A,#N/A,#N/A,#N/A,#N/A
University of Illinois Urbana-Champaign,16,86-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Iowa,14,100-c,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
University of Kansas,12,88-d,0.86,#N/A,#N/A,#N/A,#N/A,#N/A
University of Kentucky,3,73-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Louisiana Monroe,15,89-b,0.73,#N/A,#N/A,#N/A,#N/A,#N/A
University of Louisiana at Lafayette,13,88-b,0.88,#N/A,#N/A,#N/A,#N/A,#N/A
University of Louisville,1,77-c,0.89,#N/A,#N/A,#N/A,#N/A,#N/A
University of Maine,15,92-c,0.88,#N/A,#N/A,#N/A,#N/A,#N/A
University of Maryland Baltimore County,14,67-c,0.77,#N/A,#N/A,#N/A,#N/A,#N/A
University of Maryland College Park,14,92-c,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
University of Maryland Eastern Shore,0,93-c,0.67,#N/A,#N/A,#N/A,#N/A,#N/A
University of Massachusetts Amherst,13,92-c,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
University of Massachusetts Lowell,14,90-b,0.93,#N/A,#N/A,#N/A,#N/A,#N/A
University of Memphis,14,100-c,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
University of Miami (Florida),12,91-c,0.9,#N/A,#N/A,#N/A,#N/A,#N/A
University of Michigan,11,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Minnesota Twin Cities,10,83-c,0.91,#N/A,#N/A,#N/A,#N/A,#N/A
University of Mississippi,12,86-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Missouri-Kansas City,15,85-c,0.86,#N/A,#N/A,#N/A,#N/A,#N/A
University of Missouri Columbia,13,91-c,0.83,#N/A,#N/A,#N/A,#N/A,#N/A
University of Montana,15,100-c,0.85,#N/A,#N/A,#N/A,#N/A,#N/A
University of Nebraska-Lincoln,12,87-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Nebraska at Omaha,12,93-c,0.91,#N/A,#N/A,#N/A,#N/A,#N/A
University of Nevada Las Vegas,13,73-c,0.87,#N/A,#N/A,#N/A,#N/A,#N/A
University of Nevada Reno,14,100-c,0.93,#N/A,#N/A,#N/A,#N/A,#N/A
University of New Hampshire,0,65-d,0.73,#N/A,#N/A,#N/A,#N/A,#N/A
University of New Mexico,14,69-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of New Orleans,17,69-c,0.65,#N/A,#N/A,#N/A,#N/A,#N/A
University of North Carolina Asheville,13,86-c,0.69,#N/A,#N/A,#N/A,#N/A,#N/A
University of North Carolina Chapel Hill,13,93-c,0.69,#N/A,#N/A,#N/A,#N/A,#N/A
University of North Carolina Wilmington,13,88-d,0.86,#N/A,#N/A,#N/A,#N/A,#N/A
University of North Dakota,17,76-d,0.93,#N/A,#N/A,#N/A,#N/A,#N/A
University of North Florida,14,93-c,0.88,#N/A,#N/A,#N/A,#N/A,#N/A
University of North Texas,12,93-c,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
University of Northern Colorado,15,100-b,0.93,#N/A,#N/A,#N/A,#N/A,#N/A
University of Northern Iowa,14,100-b,0.93,#N/A,#N/A,#N/A,#N/A,#N/A
University of Notre Dame,13,85-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Oklahoma,13,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Oregon,14,100-c,0.85,#N/A,#N/A,#N/A,#N/A,#N/A
University of Pennsylvania,0,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Pittsburgh,12,93-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Portland,15,92-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Rhode Island,14,100-c,0.93,#N/A,#N/A,#N/A,#N/A,#N/A
University of Richmond,14,73-c,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
University of San Diego,11,87-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of San Francisco,15,83-c,0.73,#N/A,#N/A,#N/A,#N/A,#N/A
University of South Alabama,11,71-c,0.87,#N/A,#N/A,#N/A,#N/A,#N/A
University of South Carolina Columbia,12,100-d,0.83,#N/A,#N/A,#N/A,#N/A,#N/A
University of South Carolina Upstate,14,100-b,0.71,#N/A,#N/A,#N/A,#N/A,#N/A
University of South Dakota,14,75-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of South Florida,16,86-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Southern California,15,88-b,0.75,#N/A,#N/A,#N/A,#N/A,#N/A
University of Tennessee Knoxville,3,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Tennessee at Chattanooga,15,80-c,0.86,#N/A,#N/A,#N/A,#N/A,#N/A
University of Tennessee at Martin,15,90-b,0.88,#N/A,#N/A,#N/A,#N/A,#N/A
University of Texas at Arlington,16,88-d,0.8,#N/A,#N/A,#N/A,#N/A,#N/A
University of Texas at Austin,18,75-d,0.9,#N/A,#N/A,#N/A,#N/A,#N/A
University of Texas at El Paso,15,92-e,0.88,#N/A,#N/A,#N/A,#N/A,#N/A
University of Texas at San Antonio,15,83-d,0.75,#N/A,#N/A,#N/A,#N/A,#N/A
University of Toledo,13,79-c,0.79,#N/A,#N/A,#N/A,#N/A,#N/A
University of Utah,15,90-b,0.9,#N/A,#N/A,#N/A,#N/A,#N/A
University of Vermont,13,93-c,0.93,#N/A,#N/A,#N/A,#N/A,#N/A
University of Virginia,12,62-c,0.62,#N/A,#N/A,#N/A,#N/A,#N/A
University of Washington,12,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Wisconsin-Green Bay,13,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Wisconsin-Madison,14,88-d,0.88,#N/A,#N/A,#N/A,#N/A,#N/A
University of Wisconsin-Milwaukee,15,69-c,0.69,#N/A,#N/A,#N/A,#N/A,#N/A
University of Wyoming,14,82-d,0.82,#N/A,#N/A,#N/A,#N/A,#N/A
University of the Incarnate Word,11,89-d,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
University of the Pacific,13,91-c,0.83,#N/A,#N/A,#N/A,#N/A,#N/A
Utah State University,5,94-d,0.89,Utah,31,12,19,0.467
Utah Valley University,17,100-c,0.91,Utah Valley,30,7,23,0.3
Valparaiso University,11,100-c,0.94,Valparaiso,31,6,25,0.484
