School,Overall G,Overall W,Overall L,Overall W-L%
Massachusetts-Lowell,28,5,23,0.179
McNeese State,33,19,14,0.576
Memphis,31,13,18,0.419
Mercer,31,17,14,0.548
Miami (FL),31,16,15,0.516
Miami (OH),30,8,22,0.267
Michigan,34,20,14,0.588
Michigan State NCAA,33,23,10,0.697
Middle Tennessee NCAA,34,29,5,0.853
Milwaukee,30,8,22,0.267
Minnesota,35,22,13,0.629
Mississippi,32,12,20,0.375
Mississippi State,36,22,14,0.611
Mississippi Valley State,30,9,21,0.3
Missouri,31,17,14,0.548
Missouri State,31,14,17,0.452
Monmouth,33,8,25,0.242
Montana,34,23,11,0.676
Montana State,30,15,15,0.5
Morehead State,29,12,17,0.414
Morgan State,30,5,25,0.167
Mount St. Mary's,33,19,14,0.576
Murray State,28,11,17,0.393
Navy,32,24,8,0.75
NC State NCAA,33,25,8,0.758
Nebraska NCAA,33,26,7,0.788
Nevada,31,18,13,0.581
Nevada-Las Vegas,32,13,19,0.406
New Hampshire,31,19,12,0.613
New Mexico,30,11,19,0.367
New Mexico State,31,11,20,0.355
New Orleans,29,0,29,0
Niagara,30,10,20,0.333
Nicholls State,31,17,14,0.548
NJIT,29,8,21,0.276
Norfolk State,28,12,16,0.429
North Carolina NCAA,37,27,10,0.73
North Carolina A&T,31,24,7,0.774
North Carolina Central,30,11,19,0.367
North Dakota NCAA,32,22,10,0.688
North Dakota State,30,6,24,0.2
North Florida,29,6,23,0.207
North Texas,30,12,18,0.4
Northeastern,30,12,18,0.4
Northern Arizona,29,9,20,0.31
Northern Colorado,29,14,15,0.483
Northern Illinois,30,11,19,0.367
Northern Iowa,30,17,13,0.567
Northern Kentucky,31,18,13,0.581
Northwestern,33,17,16,0.515
Northwestern State NCAA,34,21,13,0.618
Notre Dame NCAA,38,37,1,0.974
Oakland,30,13,17,0.433
Ohio,30,9,21,0.3
Ohio State,35,17,18,0.486
Oklahoma NCAA,33,18,15,0.545
Oklahoma State NCAA,34,25,9,0.735
Old Dominion,34,18,16,0.529
Omaha,28,12,16,0.429
Oral Roberts,29,9,20,0.31
Oregon,32,16,16,0.5
Oregon State NCAA,35,24,11,0.686
Pacific,31,18,13,0.581
Penn State NCAA,32,24,8,0.75
Pennsylvania NCAA,29,22,7,0.759
Pepperdine,31,6,25,0.194
Pittsburgh,31,11,20,0.355
Portland,30,14,16,0.467
Portland State,29,8,21,0.276
Prairie View NCAA,32,14,18,0.438
Presbyterian,31,12,19,0.387
Princeton,30,21,9,0.7
Providence,30,7,23,0.233
Purdue NCAA,31,22,9,0.71
Purdue Fort Wayne,30,15,15,0.5
Quinnipiac,34,21,13,0.618
Radford,30,7,23,0.233
Rhode Island,30,7,23,0.233
Rice,30,14,16,0.467
Richmond,30,14,16,0.467
Rider,32,15,17,0.469
Robert Morris NCAA,33,21,12,0.636
Rutgers,37,28,9,0.757
Sacramento State,30,18,12,0.6
Sacred Heart,30,12,18,0.4
Saint Francis (PA),32,15,17,0.469
Saint Joseph's NCAA,33,23,10,0.697
Saint Louis,30,12,18,0.4
Saint Mary's (CA),33,23,10,0.697
Saint Peter's,30,3,27,0.1
Sam Houston,29,13,16,0.448
Samford,30,10,20,0.333
San Diego,33,24,9,0.727
San Diego State,30,13,17,0.433
San Francisco,31,12,19,0.387
San Jose State,30,11,19,0.367
Santa Clara,30,10,20,0.333
Savannah State,33,19,14,0.576
Seattle,32,16,16,0.5
Seton Hall,34,20,14,0.588
Siena,31,9,22,0.29
South Alabama,28,8,20,0.286
South Carolina NCAA,34,29,5,0.853
South Carolina State,27,7,20,0.259
South Carolina Upstate,32,17,15,0.531
South Dakota NCAA,33,19,14,0.576
South Dakota State,36,26,10,0.722
South Florida,36,23,13,0.639
Southeast Missouri State,29,10,19,0.345
Southeastern Louisiana,30,8,22,0.267
Southern,28,20,8,0.714
Southern California NCAA,35,22,13,0.629
Southern Illinois,30,5,25,0.167
SIU Edwardsville,30,11,19,0.367
Southern Methodist,32,18,14,0.563
Southern Mississippi,34,27,7,0.794
Southern Utah,33,23,10,0.697
St. Bonaventure,35,24,11,0.686
St. Francis (NY),30,19,11,0.633
