School,GSR,GSR Percentage,School_2,Overall G,Overall W,Overall L,Overall W-L%,
Iowa State University,88-b,0.88,Iowa State NCAA,37,29,8,0.784,
Jackson State University,69-c,0.69,Jackson State,32,15,17,0.469,
Jacksonville State University,72-d,0.72,Jacksonville State,32,14,18,0.438,
Jacksonville University,100-c,1,Jacksonville,33,16,17,0.485,
James Madison University,86-b,0.86,James Madison NCAA,36,32,4,0.889,
Kansas State University,78-b,0.78,Kansas State,34,19,15,0.559,
Kennesaw State University,64-c,0.64,Kennesaw State,31,15,16,0.484,
Kent State University,88-d,0.88,Kent State,34,17,17,0.5,
La Salle University,100-b,1,La Salle,33,16,17,0.485,
Lafayette College,100-c,1,Lafayette,32,11,21,0.344,
Lamar University,86-c,0.86,Lamar,33,19,14,0.576,
Lehigh University,90-b,0.9,Lehigh,32,14,18,0.438,
Liberty University,100-c,1,Liberty,32,18,14,0.563,
Lipscomb University,100-b,1,Lipscomb,32,20,12,0.625,
Long Beach State University,56-d,0.56,Long Beach State NCAA,36,21,15,0.583,
Long Island University,92-c,0.92,Long Island University,29,7,22,0.241,
Longwood University,80-b,0.8,Longwood NCAA,35,21,14,0.6,
Louisiana State University,80-b,0.8,Louisiana State,33,17,16,0.515,
Louisiana Tech University,75-d,0.75,Louisiana Tech,32,22,10,0.688,
Loyola Marymount University,90-b,0.9,Loyola Marymount,31,12,19,0.387,
Loyola University Chicago,86-c,0.86,Loyola (IL),33,23,10,0.697,
Loyola University Maryland,100-b,1,Loyola (MD),32,7,25,0.219,
Manhattan University,100-b,1,Manhattan,30,7,23,0.233,
Marist University,100-c,1,Marist,31,18,13,0.581,
Marquette University,82-c,0.82,Marquette NCAA,37,27,10,0.73,
Marshall University,69-c,0.69,Marshall,33,13,20,0.394,
McNeese State University,73-c,0.73,McNeese State NCAA,34,30,4,0.882,
Mercer University,86-c,0.86,Mercer,33,16,17,0.485,
Merrimack College,78-b,0.78,Merrimack,33,21,12,0.636,
Miami University (Ohio),92-c,0.92,Miami (OH),32,15,17,0.469,
Michigan State University,86-b,0.86,Michigan State NCAA,35,20,15,0.571,
Middle Tennessee State University,100-c,1,Middle Tennessee,33,14,19,0.424,
Mississippi State University,88-b,0.88,Mississippi State NCAA,35,21,14,0.6,
Mississippi Valley State University,41-d,0.41,Mississippi Valley State,31,1,30,0.032,
Missouri State University,88-d,0.88,Missouri State,33,17,16,0.515,
Monmouth University,100-b,1,Monmouth,33,18,15,0.545,
Montana State University-Bozeman,88-d,0.88,Montana State NCAA,35,17,18,0.486,
Morehead State University,80-b,0.8,Morehead State NCAA,35,26,9,0.743,
Morgan State University,56-d,0.56,Morgan State,31,11,20,0.355,
Mount St. Mary's University,100-b,1,Mount St. Mary's,32,13,19,0.406,
Murray State University,91-c,0.91,Murray State,32,12,20,0.375,
New Jersey Institute of Technology,89-b,0.89,NJIT,28,7,21,0.25,
New Mexico State University,89-b,0.89,New Mexico State,32,13,19,0.406,
Niagara University,80-c,0.8,Niagara,32,16,16,0.5,
Nicholls State University,88-d,0.88,Nicholls State,34,20,14,0.588,
Norfolk State University,80-c,0.8,Norfolk State,35,24,11,0.686,
North Carolina A&T State University,86-c,0.86,North Carolina A&T,32,7,25,0.219,
North Carolina Central University,100-d,1,North Carolina Central,31,18,13,0.581,
North Carolina State University,67-b,0.67,,,,,,*
North Dakota State University,91-c,0.91,North Dakota State,32,15,17,0.469,
Northeastern University,93-c,0.93,Northeastern,32,12,20,0.375,
Northern Arizona University,47-d,0.47,Northern Arizona,33,14,19,0.424,
Northern Illinois University,71-c,0.71,Northern Illinois,31,11,20,0.355,
Northern Kentucky University,89-b,0.89,Northern Kentucky,33,18,15,0.545,
Northwestern State University,100-c,1,Northwestern State,32,9,23,0.281,
Northwestern University,100-c,1,Northwestern NCAA,34,22,12,0.647,
Oakland University,80-a,0.8,Oakland NCAA,36,24,12,0.667,
Ohio University,91-c,0.91,Ohio,33,20,13,0.606,
Oklahoma State University,71-b,0.71,Oklahoma State,32,12,20,0.375,
Old Dominion University,100-b,1,Old Dominion,32,7,25,0.219,
