School,Basketball Player #,GSR,GSR Percentage,Graduation Rate,School Checked,Overall Games,Overall Wins,Overall Losses,W-L%
Pennsylvania State University,13,100-b,1,13,Pennsylvania,28,15,13,0.367
Pepperdine University,16,88-d,0.88,14,Pepperdine,30,5,25,0.706
Providence College,15,100-c,1,15,Providence,34,13,21,0.576
Purdue University,13,86-c,0.86,11,Purdue,34,15,19,0.345
Purdue University Fort Wayne,12,80-c,0.8,10,Purdue Fort Wayne,36,23,13,0.5
Quinnipiac University,14,100-c,1,14,Quinnipiac,31,13,18,0.156
Radford University,14,100-c,1,14,Radford,33,15,18,0.138
Rider University,13,100-c,1,13,Rider,31,10,21,0.433
Robert Morris University,13,100-c,1,13,Robert Morris,30,6,24,0.469
Saint Joseph's University,10,100-c,1,10,Saint Joseph's,34,28,6,0.588
Saint Louis University,13,100-c,1,13,Saint Louis,40,22,18,0.71
Saint Peter's University,15,100-b,1,15,Saint Peter's,30,7,23,0.5
Sam Houston State University,13,89-d,0.89,12,Sam Houston,29,7,22,0.556
Samford University,10,100-c,1,10,Samford,30,14,16,0.727
San Diego State University,13,100-c,1,13,San Diego,31,9,22,0.657
Santa Clara University,13,93-c,0.93,12,Santa Clara,34,25,9,0.367
Seattle University,11,100-c,1,11,Seattle,29,6,23,0.697
Seton Hall University,9,100-b,1,9,Seton Hall,32,17,15,0.688
Siena College,15,100-c,1,15,Siena,30,18,12,0.697
South Dakota State University,14,100-c,1,14,South Dakota,36,23,13,0.5
Southeastern Louisiana University,13,100-c,1,13,Southeastern Louisiana,31,19,12,0.452
Southern Methodist University,13,83-c,0.83,11,Southern Methodist,30,14,16,0.816
Southern Utah University,11,75-b,0.75,8,Southern Utah,30,8,22,0.5
St. Bonaventure University,10,100-c,1,10,St. Bonaventure,30,4,26,0.909
Stephen F. Austin State University,14,86-c,0.86,12,Stephen F. Austin,34,22,12,0.419
Stetson University,12,93-c,0.93,11,Stetson,32,17,15,0.367
Stony Brook University,12,100-d,1,12,Stony Brook,33,28,5,0.6
Temple University,12,89-b,0.89,11,Temple,32,20,12,0.4
Texas Southern University,13,82-d,0.82,11,Texas Southern,29,7,22,0.3
Texas Tech University,13,94-d,0.94,12,Texas Tech,33,17,16,0.3
Towson University,16,100-c,1,16,Towson,31,20,11,0.3
Troy University,13,95-d,0.95,12,Troy,34,22,12,0.367
Tulane University,11,100-c,1,11,Tulane,32,12,20,0.8
Utah Valley University,14,91-c,0.91,13,Utah Valley,29,10,19,0.167
Valparaiso University,13,100-c,1,13,Valparaiso,30,5,25,0.563
Villanova University,13,100-c,1,13,Villanova,35,22,13,0.387
Virginia Commonwealth University,15,92-c,0.92,14,Virginia Commonwealth,32,26,6,0.545
Wagner College,15,100-b,1,15,Wagner,28,7,21,0.676
Wake Forest University,10,100-c,1,10,Wake Forest,32,7,25,0.629
Washington State University,14,93-c,0.93,13,Washington,31,16,15,0.5
Western Carolina University,15,100-c,1,15,Western Carolina,30,6,24,0.25
Western Illinois University,12,89-b,0.89,11,Western Illinois,30,18,12,0.219
Western Kentucky University,12,92-c,0.92,11,Western Kentucky,32,15,17,0.516
Western Michigan University,13,93-c,0.93,12,Western Michigan,30,12,18,0.583
William & Mary,15,100-c,1,15,William & Mary,29,15,14,0.758
Winthrop University,14,87-c,0.87,12,Winthrop,30,14,16,0.2
Wofford College,13,73-c,0.73,9,Wofford,30,17,13,0.6
Xavier University,15,85-c,0.85,13,Xavier,28,1,27,0.4
Yale University,0,100-d,1,0,Yale,27,8,19,0.313
