School,Men's GSR Percentage,Men's Win Category,Women's GSR Percentage,Women's Win Category
Sacred Heart University,0.82,4,1,4
Saint Francis University,1,2,1,4
Saint Joseph's University,0.91,5,1,4
Saint Louis University,0.7,1,1,2
Saint Mary's College of California,1,3,1,5
Saint Peter's University,1,3,1,1
Sam Houston State University,0.89,4,1,3
Samford University,1,4,0.9,3
San Diego State University,0.73,3,1,4
San Jose State University,0.85,4,0.89,4
Santa Clara University,1,4,1,3
Seattle University,1,2,1,4
Seton Hall University,1,4,1,4
Siena College,0.75,3,0.93,2
South Carolina State University,1,2,1,4
South Dakota State University,1,5,1,3
Southeast Missouri State University,0.86,1,1,2
Southeastern Louisiana University,1,4,1,5
Southern Illinois University at Carbondale,1,2,1,1
Southern Illinois University Edwardsville,0.92,4,1,4
Southern Methodist University,0.8,5,1,2
Southern University Baton Rouge,0.55,3,0.93,4
Southern Utah University,0.82,3,0.93,5
St. Bonaventure University,0.88,4,0.83,3
St. John's University (New York),0.77,5,0.8,3
Stanford University,1,3,0.75,4
Stephen F. Austin State University,0.63,1,1,5
Stetson University,0.6,2,0.91,3
Stony Brook University,0.92,3,1,1
Syracuse University,0.67,1,0.86,2
Temple University,1,2,0.93,3
Tennessee State University,0.89,2,1,1
Tennessee Technological University,1,4,1,2
Texas A&M University College Station,0.67,3,0.89,2
Texas A&M University-Corpus Christi,0.77,3,0.85,4
Texas Christian University,0.55,2,1,3
Texas Southern University,1,2,0.88,3
Texas State University,1,4,0.75,2
Texas Tech University,0.78,3,1,2
The Citadel,0.55,#N/A,,
The Ohio State University,0.64,3,0.82,4
The University of North Carolina at Charlotte,0.83,1,0.85,3
The University of North Carolina at Greensboro,1,3,0.94,3
The University of Southern Mississippi,0.58,2,#N/A,#N/A
The University of Texas Rio Grande Valley,0.71,3,0.88,1
The University of Tulsa,0.61,4,0.79,3
Towson University,0.91,2,0.87,2
Troy University,0.92,2,0.91,3
Tulane University,1,2,0.89,4
U.S. Air Force Academy,0.88,4,1,2
U.S. Military Academy,0.95,3,1,2
U.S. Naval Academy,0.93,3,0.95,2
University at Albany,0.76,3,1,4
University at Buffalo the State University of New York,0.94,2,1,3
University of Akron,0.83,3,0.89,3
University of Alabama,1,4,0.84,3
University of Alabama at Birmingham,0.88,2,0.75,2
University of Arizona,0.58,3,1,3
University of Arkansas at Little Rock,0.64,3,0.92,4
University of Arkansas Fayetteville,0.6,3,0.88,2
University of Arkansas Pine Bluff,0.78,3,1,3
University of California Berkeley,0.71,3,1,3
University of California Davis,0.91,3,0.93,3
University of California Irvine,0.82,3,0.88,3
University of California Los Angeles,0.63,2,0.81,3
University of California Riverside,0.71,2,0.92,3
University of California Santa Barbara,0.82,3,0.94,3
University of Central Arkansas,1,3,0.86,2
University of Central Florida,0.87,2,1,2
University of Cincinnati,0.89,3,1,3
University of Colorado Boulder,0.69,3,0.92,3
University of Connecticut,0.91,2,0.93,2
University of Dayton,0.9,1,0.94,3
University of Delaware,0.83,4,0.92,3
University of Denver,1,4,1,2
University of Detroit Mercy,0.57,4,1,1
University of Evansville,0.92,3,1,4
University of Florida,1,5,0.88,4
University of Georgia,0.5,3,0.87,4
University of Hartford,,#N/A,,
University of Hawaii Manoa,0.67,3,0.92,3
University of Houston,0.9,2,0.93,5
University of Idaho,0.91,3,1,3
University of Illinois Chicago,0.86,3,0.93,3
University of Illinois Urbana-Champaign,0.8,#N/A,,
University of Iowa,0.89,3,#N/A,#N/A
University of Kansas,0.82,1,0.87,2
University of Kentucky,1,2,0.81,3
University of Louisiana at Lafayette,0.89,4,1,3
University of Louisiana Monroe,0.95,3,0.92,3
University of Louisville,1,2,#N/A,#N/A
University of Maine,0.81,2,0.85,1
University of Maryland Baltimore County,0.86,2,0.94,2
University of Maryland College Park,0.64,4,1,4
University of Maryland Eastern Shore,0.73,3,1,3
University of Massachusetts Amherst,0.85,3,0.8,2
University of Massachusetts Lowell,0.89,5,1,2
University of Memphis,0.64,5,0.92,2
University of Miami (Florida),0.92,3,0.92,4
University of Michigan,1,2,1,3
University of Minnesota Twin Cities,0.92,3,0.92,3
University of Mississippi,0.89,3,1,5
University of Missouri Columbia,0.78,2,0.93,5
University of Missouri-Kansas City,0.82,4,1,3
University of Montana,0.82,4,1,2
University of Nebraska at Omaha,1,2,1,3
University of Nebraska-Lincoln,0.92,4,1,3
University of Nevada Las Vegas,0.92,2,1,2
University of Nevada Reno,1,1,1,4
University of New Hampshire,0.9,3,0.93,4
University of New Mexico,0.91,4,0.91,2
University of New Orleans,0.83,2,0.93,4
University of North Alabama,0.5,4,1,2
University of North Carolina Asheville,0.73,3,0.87,1
