School,Overall G,Overall W,Overall L,Overall W-L%
Montana,33,23,10,0.697
Montana State,33,17,16,0.515
Morehead State,30,15,15,0.5
Morgan State,30,8,22,0.267
Mount St. Mary's,31,14,17,0.452
Murray State,32,20,12,0.625
Navy,31,14,17,0.452
NC State NCAA,38,31,7,0.816
Nebraska NCAA,35,23,12,0.657
Nevada,32,16,16,0.5
Nevada-Las Vegas NCAA,33,30,3,0.909
New Hampshire,29,9,20,0.31
New Mexico,32,21,11,0.656
New Mexico State,31,13,18,0.419
New Orleans,30,11,19,0.367
Niagara,35,21,14,0.6
Nicholls State,32,14,18,0.438
NJIT,30,12,18,0.4
Norfolk State NCAA,33,27,6,0.818
North Alabama,30,12,18,0.4
North Carolina NCAA,33,20,13,0.606
North Carolina A&T,34,22,12,0.647
North Carolina Central,31,16,15,0.516
North Dakota,30,9,21,0.3
North Dakota State,34,22,12,0.647
North Florida,30,9,21,0.3
North Texas,32,23,9,0.719
Northeastern,27,10,17,0.37
Northern Arizona,35,25,10,0.714
Northern Colorado,31,15,16,0.484
Northern Illinois,31,15,16,0.484
Northern Iowa,32,16,16,0.5
Northern Kentucky,31,11,20,0.355
Northwestern,30,9,21,0.3
Northwestern State,30,11,19,0.367
Notre Dame NCAA,35,28,7,0.8
Oakland,29,12,17,0.414
Ohio,30,11,19,0.367
Ohio State NCAA,32,26,6,0.813
Oklahoma NCAA,33,23,10,0.697
Oklahoma State,30,14,16,0.467
Old Dominion,32,22,10,0.688
Omaha,31,8,23,0.258
Oral Roberts,32,21,11,0.656
Oregon,32,11,21,0.344
Oregon State NCAA,35,27,8,0.771
Pacific,34,19,15,0.559
Penn State,35,22,13,0.629
Pennsylvania,28,15,13,0.536
Pepperdine,30,5,25,0.167
Pittsburgh,32,8,24,0.25
Portland NCAA,34,21,13,0.618
Portland State,31,8,23,0.258
Prairie View,29,11,18,0.379
Presbyterian NCAA,36,21,15,0.583
Princeton NCAA,30,25,5,0.833
Providence,34,13,21,0.382
Purdue,34,15,19,0.441
Purdue Fort Wayne,36,23,13,0.639
Queens (NC),29,7,22,0.241
Quinnipiac,31,13,18,0.419
Radford,33,15,18,0.455
Rhode Island,35,21,14,0.6
Rice NCAA,34,19,15,0.559
Richmond NCAA,35,29,6,0.829
Rider,31,10,21,0.323
Robert Morris,30,6,24,0.2
Rutgers,32,8,24,0.25
Sacramento State,31,6,25,0.194
Sacred Heart NCAA,34,24,10,0.706
Saint Francis (PA),30,5,25,0.167
Saint Joseph's,34,28,6,0.824
Saint Louis,40,22,18,0.55
Saint Mary's (CA),31,13,18,0.419
Saint Peter's,30,7,23,0.233
Sam Houston,29,7,22,0.241
Samford,30,14,16,0.467
San Diego,31,9,22,0.29
San Diego State,35,22,13,0.629
San Francisco,30,14,16,0.467
San Jose State,31,7,24,0.226
Santa Clara,34,25,9,0.735
Seattle,29,6,23,0.207
Seton Hall,32,17,15,0.531
Siena,30,18,12,0.6
South Alabama,32,9,23,0.281
South Carolina NCAA,38,38,0,1
South Carolina State,30,2,28,0.067
South Carolina Upstate,32,16,16,0.5
South Dakota,36,23,13,0.639
South Dakota State NCAA,33,27,6,0.818
South Florida,33,19,14,0.576
Southeast Missouri State,29,9,20,0.31
Southeastern Louisiana,31,19,12,0.613
Southern,30,15,15,0.5
Southern California NCAA,35,29,6,0.829
Southern Illinois,31,11,20,0.355
SIU Edwardsville,31,5,26,0.161
Southern Indiana,32,25,7,0.781
Southern Methodist,30,14,16,0.467
Southern Mississippi,34,20,14,0.588
Southern Utah,30,8,22,0.267
St. Bonaventure,30,4,26,0.133
St. John's (NY),33,18,15,0.545
St. Thomas,31,15,16,0.484
Stanford NCAA,36,30,6,0.833
Stephen F. Austin,34,22,12,0.647
Stetson,32,17,15,0.531
Stonehill,30,4,26,0.133
Stony Brook,33,28,5,0.848
Syracuse NCAA,32,24,8,0.75
Tarleton State,31,11,20,0.355
TCU,33,21,12,0.636
Temple,32,20,12,0.625
Tennessee NCAA,33,20,13,0.606
Tennessee State,30,11,19,0.367
Tennessee Tech,31,16,15,0.516
Tennessee-Martin NCAA,33,16,17,0.485
Texas NCAA,38,33,5,0.868
Texas A&M NCAA,32,19,13,0.594
Texas A&M-Corpus Christi NCAA,32,23,9,0.719
Texas Southern,29,7,22,0.241
Texas State,32,14,18,0.438
Texas Tech,33,17,16,0.515
Texas-Rio Grande Valley,29,6,23,0.207
Toledo,34,28,6,0.824
Towson,31,20,11,0.645
Troy,34,22,12,0.647
Tulane,32,12,20,0.375
